Model No,Brand,Control,Prog Name,Type,New CEC,New Star
3D42A4000i,Changhong,106.659,LCD (LED),,79.98,8
3D42B4500i,Changhong,106.697,LCD (LED),,48.36,8
3D47A7000i*,Changhong,120.259,LCD (LED),,70,8
3D55A4000*,CHANGHONG,138.711,LCD (LED),,113,7
3D55A7000i,Changhong,138.783,LCD (LED),,92,8
3D55A7000i*,Changhong,138.783,LCD (LED),,92,8
3D55B4500i,Changhong,139.294,LCD (LED),,66.7,8
3D60C4000i,Changhong,152.281,Plasma,,200,8
CHL3255B-NE,CHANGHONG,80.278,LCD,,97.9,3
CHL3255B-NF,CHANGHONG,80.278,LCD,,97.9,3
CHL3255B-NG,CHANGHONG,80.278,LCD,,97.9,3
CHL3255B-NH,CHANGHONG,80.278,LCD,,97.9,3
CHL4725A,CHANGHONG,120.452,LCD,,295.4,1.5
CHL4725AB,CHANGHONG,120.452,LCD,,295.4,1.5
CHL4725AC,CHANGHONG,120.452,LCD,,295.4,1.5
CHL4725AD,CHANGHONG,120.452,LCD,,295.4,1.5
CHP4210A,CHANGHONG,108.803,Plasma,,228.35,2
CHP4210AB,CHANGHONG,108.803,Plasma,,228.35,2
CHP4210AC,CHANGHONG,108.803,Plasma,,228.35,2
CHP4210AD,CHANGHONG,108.803,Plasma,,228.35,2
CHP4263A,CHANGHONG,107.402,Plasma,,199,2.5
CHP4263AB,CHANGHONG,107.402,Plasma,,199,2.5
CHP4263AC,CHANGHONG,107.402,Plasma,,199,2.5
CHP4263AD,CHANGHONG,107.402,Plasma,,199,2.5
CHP5020A,CHANGHONG,129.48,Plasma,,310.38,2
CHP5020AB,CHANGHONG,129.48,Plasma,,310.38,2
CHP5020AC,CHANGHONG,129.48,Plasma,,310.38,2
CHP5020AD,CHANGHONG,129.48,Plasma,,310.38,2
CHP5063A,CHANGHONG,126.856,Plasma,,251.05,2.5
CHP5063AB,CHANGHONG,126.856,Plasma,,251.05,2.5
CHP5063AC,CHANGHONG,126.856,Plasma,,251.05,2.5
CHP5063AD,CHANGHONG,126.856,Plasma,,251.05,2.5
E19M450PA,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PB,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PC,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PD,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PV,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PV-NC,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M450PV-NE,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M550DA,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DB,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DC,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DE,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DV,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DV-NC,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M550DV-NE,CHANGHONG,47.013,LCD (LED),,31.8,5
E19M650**,CHANGHONG,47.887,LCD (LED),,24.8,6
E19M750**,CHANGHONG,47.887,LCD (LED),,25,6
E22M450-NC,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450-NE,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450PA,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450PB,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450PC,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450PD,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M450PV,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E22M550DA,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DB,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DC,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DE,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DV,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DV-NA,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M550DV-NE,CHANGHONG,54.626,LCD (LED),,41.8,4.5
E22M650PA,CHANGHONG,54.626,LCD (LED),,30.7,6
E22M650PB,CHANGHONG,54.626,LCD (LED),,30.7,6
E22M650PC,CHANGHONG,54.626,LCD (LED),,30.7,6
E22M650PV,CHANGHONG,54.626,LCD (LED),,30.7,6
E22M650PV-NC,CHANGHONG,54.626,LCD (LED),,30.7,6
E22M750**,CHANGHONG,54.626,LCD (LED),,34.5,5.5
E24M450PA,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PB,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PC,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PD,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PV,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PV-NC,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M450PV-NE,CHANGHONG,59.774,LCD (LED),,38.9,5.5
E24M550DA,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DB,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DC,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DE,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DV,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DV-NC,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M550DV-NE,CHANGHONG,59.774,LCD (LED),,46.3,4.5
E24M750**,Changhong,59.774,LCD,,34.7,6
E24M755DV,Changhong,59.774,LCD (LED),,22.68,7
E32L350FA,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FB,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FC,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FD,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FD-NA,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FD-NE,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FE,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FG,CHANGHONG,80.054,LCD (LED),,95,3.5
E32L350FP,CHANGHONG,80.054,LCD (LED),,95,3.5
E32M250**,Changhong,79.967,LCD (LED),,43,7
E32M450P-NE,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PA,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PB,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PC,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PD,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PE,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PV,CHANGHONG,79.967,LCD (LED),,67,5
E32M450PV-NC,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DA,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DB,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DC,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DH,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DV,CHANGHONG,79.967,LCD (LED),,67,5
E32M550DV,CHANGHONG,79.967,LCD (LED),,67,5
E32M650PA,CHANGHONG,79.967,LCD (LED),,43,7
E32M650PB,CHANGHONG,79.967,LCD (LED),,43,7
E32M650PC,CHANGHONG,79.967,LCD (LED),,43,7
E32M650PD,CHANGHONG,79.967,LCD (LED),,43,7
E32M650PV,CHANGHONG,79.967,LCD (LED),,43,7
E32M650PV-NC,CHANGHONG,79.967,LCD (LED),,43,7
E42L350FA,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FB,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FC,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FD,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FD-NC,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FD-NE,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FE,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FG,CHANGHONG,106.697,LCD (LED),,133,4
E42L350FH,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PA,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PB,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PC,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PD,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PE,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PV,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PV-NC,CHANGHONG,106.697,LCD (LED),,133,4
E42M450PV-NE,CHANGHONG,106.697,LCD (LED),,133,4
E42M650PA,CHANGHONG,106.697,LCD (LED),,99,5.5
E42M650PB,CHANGHONG,106.697,LCD (LED),,99,5.5
E42M650PC,CHANGHONG,106.697,LCD (LED),,99,5.5
E42M650PD,CHANGHONG,106.697,LCD (LED),,99,5.5
E42M650PV,CHANGHONG,106.697,LCD (LED),,99,5.5
E46L350FA,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FB,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FC,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FD,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FD-NA,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FD-NE,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FE,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FG,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E46L350FH,CHANGHONG,116.769,LCD (LED),,144.5,4.5
E55L350FA,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FB,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FC,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FD,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FD,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FD-NA,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FD-NE,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FG,CHANGHONG,138.711,LCD (LED),,192.3,4.5
E55L350FH,CHANGHONG,138.711,LCD (LED),,192.3,4.5
L32M150DA,CHANGHONG,79.967,LCD,,67,5
L32M150DB,CHANGHONG,79.967,LCD,,67,5
L32M150DC,CHANGHONG,79.967,LCD,,67,5
L32M150DV,CHANGHONG,79.967,LCD,,67,5
L32M150DV-NC,CHANGHONG,79.967,LCD,,67,5
L42M100FA,CHANGHONG,106.697,LCD,,129.1,4
L42M100FB,CHANGHONG,106.697,LCD,,129.1,4
L42M100FC,CHANGHONG,106.697,LCD,,129.1,4
L42M100FD,CHANGHONG,106.697,LCD,,129.1,4
L42M100FD,CHANGHONG,106.697,LCD,,129.1,4
L42M100FM,CHANGHONG,106.697,LCD,,129.1,4
L42M100FN,CHANGHONG,106.697,LCD,,129.1,4
L42M150DA,CHANGHONG,107.057,LCD,,110,5
L42M150DB,CHANGHONG,107.057,LCD,,110,5
L42M150DC,CHANGHONG,107.057,LCD,,110,5
L42M150DV,CHANGHONG,107.057,LCD,,110,5
L42M150DV-NC,CHANGHONG,107.057,LCD,,110,5
L42M150DV-NE,CHANGHONG,107.057,LCD,,110,5
L55M300**,CHANGHONG,138.711,LCD,,199,4.5
LED1907B,CHANGHONG,46,LCD (LED),,24.8,6
LED1907BA,CHANGHONG,46,LCD (LED),,24.8,6
LED1907BC,CHANGHONG,46,LCD (LED),,24.8,6
LED1907BD,CHANGHONG,46,LCD (LED),,24.8,6
LED19C1000,Changhong,46.885,LCD (LED),,16.9,8
LED19D2200DV,Changhong,47.013,LCD (LED),,13.49,0
LED22C1000,Changhong,54.588,LCD (LED),,21.6,8
LED2407B,CHANGHONG,59.774,LCD (LED),,38.6,5.5
LED2407BA,CHANGHONG,59.774,LCD (LED),,38.6,5.5
LED2407BC,CHANGHONG,59.774,LCD (LED),,38.6,5.5
LED2407BD,CHANGHONG,59.774,LCD (LED),,38.6,5.5
LED24C1000,Changhong,59.774,LCD (LED),,25,8
LED24C1000DV,Changhong,59.687,LCD (LED),,15.4,8
LED24D1000,Changhong,61.027,LCD (LED),,20.9,0
LED28C1000DV,Changhong,69.956,LCD (LED),,27.88,8
LED28C2000,Changhong,69.863,LCD (LED),,32.1,8
LED29A6500*,Changhong,72.4,LCD (LED),,29,8
LED29A6500DV,Changhong,72.4,LCD (LED),,36,8
LED29A6500DV*,Changhong,72.4,LCD (LED),,29,7
LED3207B,CHANGHONG,79.967,LCD (LED),,67,5
LED3207BA,CHANGHONG,79.967,LCD (LED),,67,5
LED3207BC,CHANGHONG,79.967,LCD (LED),,67,5
LED3207BD,CHANGHONG,79.967,LCD (LED),,67,5
LED32A3500*,Changhong,79.967,LCD (LED),,43.5,7
LED32A6500i,Changhong,79.967,LCD (LED),,34.59,7
LED32B2500*,Changhong,80.043,LCD (LED),,34,8
