Model No,Brand,Control,Prog Name,Type,New CEC,New Star
GE4209,dick smith,17.677,LCD,,8.613,6
GE6603,dick smith,47.013,LCD,,26.94,5.5
GE6604,dick smith,54.683,LCD (LED),,29.97,6
GE6605,dick smith,59.774,LCD (LED),,34.253,5.5
GE6606,Dick Smith,81,LCD,,119.21,2
GE6607,dick smith,47.013,LCD,,29.75,5
GE6608,dick smith,54.683,LCD,,42.56,4
GE6610,dick smith,39.543,LCD,,31.2,4
GE6800,dick smith,80.103,LCD,,62.862,5
GE6801,Dick Smith,39.49,LCD (LED),,22.31,5.5
GE6802,Dick Smith,66.58,LCD (LED),,38.198,6
GE6803,Dick Smith,66.58,LCD (LED),,38.198,6
GE6804,Dick Smith,94.03,LCD,,112.65,3.5
GE6805,Dick Smith,101.6115446,LCD,,155,2.5
GE6806,Dick Smith,66.09,LCD,,57.545,4
ge6807,Dick Smith,66.09,LCD,,57.545,4
GE6810,Dick Smith,106.729,LCD,,147.4,3
GE6817,Dick Smith,106.729,LCD,,80.7,0
GE6820,Dick Smith,47.332,LCD (LED),,22.26,6
GE6823,Dick Smith,80.152,LCD (LED),,43.6,0
GE6824,Dick Smith,96.719,LCD (LED),,82.3,5.5
GE6826,Dick Smith,54.849,LCD (LED),,27.3,6
GE6827,Dick Smith,59.618,LCD (LED),,28.5,6
GE6831,Dick Smith,72.711,LCD (LED),,38,7
GE6832,Dick Smith,59.774,LCD (LED),,30.1,6
GE6833,Dick Smith,106.697,LCD (LED),,74.6,0
GE6834,Dick Smith,116.846,LCD (LED),,93.6,6
GE6834,Dick Smith,116.846,LCD (LED),,93.6,6
GE6835,Dick Smith,125.638,LCD (LED),,107.8,6
GE6836,Dick Smith,138.783,LCD (LED),,125,6
GE6839,Dick Smith,69.732,LCD,,31.7,0
GE6840,Dick Smith,101.462,LCD,,60.9,0
GE6841,Dick Smith,59.562,LCD,,28.2,0
GE6842,Dick Smith,59.562,LCD,,28.2,0
GE6843,Dick Smith,59.562,LCD,,28.2,0
GE6844,Dick Smith,59.562,LCD,,28.2,0
GE6845,Dick Smith,79.88,LCD,,43.4,0
GE6870,Dick Smith,46.973,LCD,,20.9,0
GE6871,Dick Smith,54.713,LCD,,25.9,0
GE6872,Dick Smith,59.774,LCD,,24.1,0
GE6875,Dick Smith,80.065,LCD,,40.6,0
GE6876,Dick Smith,79.831,LCD,,39.3,0
GE6877,Dick Smith,101.511,LCD,,62.4,0
GE6878,Dick Smith,120.899,LCD,,67.8,0
GE6880,Dick Smith,138.265,LCD,,116.9,0
GE6930,Dick Smith,80.103,LCD,,37.1,0
GE6932,Dick Smith,59.774,LCD,,24.1,0
GE6933,Dick Smith,59.774,LCD,,24.1,0
GE6980,Dick Smith,47.06,LCD,,18.7,0
GE6981,Dick Smith,54.713,LCD,,22.4,0
GE6982,Dick Smith,59.861,LCD,,22.1,0
GE6983,Dick Smith,59.823,LCD,,24.3,0
GE6985,Dick Smith,79.831,LCD,,39.3,0
GE6987,Dick Smith,100.314,LCD,,48.9,0
GE7100,Dick Smith,46.811,LCD,,19,0
GE7101,Dick Smith,59.774,LCD,,24.3,0
GE7102,Dick Smith,80.065,LCD,,40.6,0
GE7103,Dick Smith,98.052,LCD,,47.2,0
GE7104,Dick Smith,138.265,LCD,,116.9,0
