Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LED19M10,ENGLAON,47,LCD (LED),,24.65,6
LED19M20,ENGLAON,47,LCD (LED),,24.65,6
LED19M30,ENGLAON,47,LCD (LED),,24.65,6
LED19M50,ENGLAON,47,LCD (LED),,24.65,6
LED19M60,ENGLAON,47,LCD (LED),,24.65,6
LED19X10,ENGLAON,47,LCD (LED),,24.65,6
LED19X20,ENGLAON,47,LCD (LED),,24.65,6
LED19X30,ENGLAON,47,LCD (LED),,24.65,6
LED19X50,ENGLAON,47,LCD (LED),,24.65,6
LED19X60,ENGLAON,47,LCD (LED),,24.65,6
LED22M10,ENGLAON,52.7,LCD (LED),,26.36,6
LED22M20,ENGLAON,52.7,LCD (LED),,26.36,6
LED22M30,ENGLAON,52.7,LCD (LED),,26.36,6
LED22M50,ENGLAON,52.7,LCD (LED),,26.36,6
LED22M60,ENGLAON,52.7,LCD (LED),,26.36,6
LED22X10,ENGLAON,52.7,LCD (LED),,26.36,6
LED22X20,ENGLAON,52.7,LCD (LED),,26.36,6
LED22X30,ENGLAON,52.7,LCD (LED),,26.36,6
LED22X50,ENGLAON,52.7,LCD (LED),,26.36,6
LED22X60,ENGLAON,52.7,LCD (LED),,26.36,6
LED24M10,ENGLAON,59.8,LCD (LED),,32.16,6
LED24M20,ENGLAON,59.8,LCD (LED),,32.16,6
LED24M30,ENGLAON,59.8,LCD (LED),,32.16,6
LED24M50,ENGLAON,59.8,LCD (LED),,32.16,6
LED24M60,ENGLAON,59.8,LCD (LED),,32.16,6
LED24X10,ENGLAON,59.8,LCD (LED),,32.16,6
LED24X20,ENGLAON,59.8,LCD (LED),,32.16,6
LED24X30,ENGLAON,59.8,LCD (LED),,32.16,6
LED24X50,ENGLAON,59.8,LCD (LED),,32.16,6
LED24X60,ENGLAON,59.8,LCD (LED),,32.16,6
