Model No,Brand,Control,Prog Name,Type,New CEC,New Star
G19HDLCD1,GVA,47,LCD,,32.42,4.5
G19HDLCDD1,GVA,47,LCD,,35.7,4.5
G19HDLED1,GVA,46.99,LCD (LED),,27.1,5.5
G22FHDLCD1,GVA,54.864,LCD,,35.3,5
G22FHDLCDD1,GVA,54.864,LCD,,39.3,5
G22FHDLED2,GVA,54.864,LCD (LED),,29.7,6
G22TDC15,GVA,54.713,LCD,,22.4,0
G22TV15,GVA,54.713,LCD,,22.4,0
G32FHDLCD1,GVA,81.28,LCD,,91.7,3.5
G32FHDLCD2,GVA,81.28,LCD,,90.3,3.5
G32TDC15,GVA,80.039,LCD (LED),,25,0
G32TV15,GVA,80.103,LCD (LED),,37.1,0
G50HDPL1,GVA,127,Plasma,,253.2,2.5
GVA15FLED,GVA,40.038,LCD (LED),,15.3,7
GVA15GLED,GVA,39.486,LCD,,12.8,0
GVA15LED,GVA,39.5,LCD,,15.2,7
GVA18LEDC,GVA,47.06,LCD (LED),,18.7,0
GVA19A58,GVA,46.99,LCD,,27.62,5.5
GVA19A58C,GVA,46.99,LCD,,32.51,5
GVA19E61,GVA,46.5,LCD,,20.04,7
GVA19LEDC,GVA,47.013,LCD (LED),,22.7,6
GVA19LEDCJ,GVA,47.013,LCD (LED),,24.5,6
GVA19UA2,GVA,47,LCD,,31.5,5
GVA19UA2C,GVA,47,LCD,,32.8,5
GVA22A62,GVA,54,LCD,,43.31,4.5
GVA22E61,GVA,54,LCD,,30.14,6
GVA22FLED,GVA,55.232,LCD (LED),,28.8,6
GVA22FLEDA,GVA,54.683,LCD (LED),,23.02,7
GVA22FLEDC,GVA,54.713,LCD (LED),,31.2,6
GVA22FLEDCA,GVA,54.683,LCD (LED),,23.02,7
GVA22FLEDCJ,GVA,54.687,LCD (LED),,31.8,5.5
GVA22FLEDJ,GVA,54.687,LCD (LED),,28.3,6
GVA22GLED,GVA,54.683,LCD,,23.2,0
GVA22GLEDC,GVA,54.683,LCD,,23.2,0
GVA22UA2,GVA,54.9,LCD,,39.5,5
GVA22UA2C,GVA,54.7,LCD,,46.68,4
GVA26FHD,GVA,66.09,LCD,,66.8,3.5
GVA26FHDC,GVA,66.05,LCD,,67.43,3.5
GVA26FLEDC,GVA,66.659,LCD (LED),,55.4,4.5
GVA26LEDC,GVA,66.087,LCD (LED),,37,6
GVA26LEDCP,GVA,66.053,LCD (LED),,43.95,5.5
GVA27LEDC ,GVA,69.863,LCD,,28.6,0
GVA32DLED,GVA,80.039,LCD (LED),,36.3,7
GVA32DLEDC,GVA,80.039,LCD (LED),,38.1,7
GVA32DLEDCV,GVA,80.039,LCD (LED),,40.4,7
GVA32DLEDV,GVA,80.039,LCD (LED),,40.4,7
GVA32E61,GVA,81.3,LCD (LED),,58.5,5.5
GVA32FHDC,GVA,80.13,LCD,,106,3
GVA32FHDC,GVA,80.05423162,LCD,,65,5
GVA32FLED,GVA,80.043,LCD (LED),,50,6
GVA32FLEDC,GVA,80.054,LCD (LED),,53.9,6
GVA32FLEDCP,GVA,80.043,LCD (LED),,50.03,6
GVA32HD,GVA,80.054,LCD,,85,4
GVA32HD1,GVA,80.043,LCD (LED),,35.7,0
GVA32LEDF,GVA,80.054,LCD (LED),,53.9,6
GVA32M7,GVA,80,LCD,,93.38,3.5
GVA32M7D,GVA,80,LCD,,93.38,3.5
GVA32S16,GVA,80,LCD,,71,4.5
GVA32UA2,GVA,80.05,LCD,,85,4
GVA39FDLED,GVA,97.974,LCD (LED),,81.87,5.5
GVA39FHD,GVA,100.333,LCD,,51.2,0
GVA40FHD,GVA,101.609,LCD,,135,3.5
GVA40UA2,GVA,102,LCD,,120.95,4
GVA50FDLED,GVA,125.731,LCD (LED),,109.7,6
GVADLED32,GVA,80.04,LCD (LED),,35.4,0
GVADLED32C,GVA,80.04,LCD (LED),,35.8,0
GVADLED32C-1,GVA,80.043,LCD (LED),,35.9,7
GVADLED39,GVA,97.974,LCD (LED),,55.07,0
GVAFLED22J,GVA,54.687,LCD (LED),,20,0
GVAFLED32,GVA,80.131,LCD,,47.26,0
GVAFLEDC22J ,GVA,54.687,LCD (LED),,21.5,0
GVALC22A58,GVA,54,LCD,,50.54,3.5
GVALC22A62,GVA,54,LCD,,43.31,4.5
GVALED15,GVA,39.491,LCD,,11.2,0
GVALED15J,GVA,39.491,LCD (LED),,12.9,0
GVALED26C ,GVA,64.317,LCD (LED),,39.7,0
GVALED32D,GVA,80.039,LCD (LED),,39.2,0
GVALEDC19J,GVA,47.013,LCD (LED),,18.2,0
GVALEDJ15,GVA,39.486,LCD,,9.8,0
GVAN19LEDC,GVA,47.013,LCD (LED),,22.7,6
GVAN22FLED,GVA,54.713,LCD (LED),,28.3,6
GVAN26LEDC,GVA,66.087,LCD (LED),,37,6
GVAN32FLED,GVA,80.054,LCD (LED),,53.9,6
GVANF22LED,GVA,54.683,LCD,,23.91,7
GVAPLED19,GVA,47.013,LCD (LED),,19.24,0
GVAPLED22 ,GVA,54.687,LCD (LED),,22.62,0
GVAPLED22C,GVA,54.687,LCD (LED),,22.62,0
GVAPLEDC19,GVA,47.013,LCD (LED),,19.24,0
