Model No,Brand,Control,Prog Name,Type,New CEC,New Star
G1912LED,GRUNDIG,47.234,LCD (LED),,16.6,8
G1912LED,GRUNDIG,47.332,LCD (LED),,22.26,6
G1912LEDV,GRUNDIG,47.332,LCD (LED),,22.26,6
G19LED,GRUNDIG,47.011,LCD,,24.8,6
G2212FELDV,GRUNDIG,54.849,LCD (LED),,27.3,6
G2212FLED,GRUNDIG,54.849,LCD (LED),,27.3,6
G22FLED,GRUNDIG,54.683,LCD (LED),,29.97,6
G22FLEDV,GRUNDIG,53.75,LCD (LED),,29.97,6
G2412FLED,GRUNDIG,59.618,LCD (LED),,28.5,6
G2412FLEDV,GRUNDIG,59.618,LCD (LED),,28.5,6
G24FLED,GRUNDIG,59,LCD (LED),,34.253,6
G24FLEDV,GRUNDIG,59.774,LCD (LED),,34.253,6
G26LCDV,GRUNDIG,65,LCD,,57.545,4.5
G3212LED,GRUNDIG,80.491,LCD (LED),,43.9,7
G3212LEDV,GRUNDIG,80.491,LCD (LED),,43.9,7
G32LCD,GRUNDIG,80,LCD,,119.21,2.5
G32LCD,GRUNDIG,80,LCD,,96,3.5
G32LCDV,GRUNDIG,80,LCD,,119.21,2.5
G32LCDV,GRUNDIG,80,LCD,,96,3.5
GLCD1908HDV,GRUNDIG,47.5,LCD,,33.7332,5
GLCD2208HDV,GRUNDIG,55,LCD,,31.5138,6
GLCD2208HDVW,GRUNDIG,55,LCD,,31.5138,6
GLED1907HDB,GRUNDIG,46.25,LCD (LED),,22.7148,6
GLED2207HDB,GRUNDIG,53.75,LCD (LED),,25.1628,6
GLED2207HDC,GRUNDIG,53.75,LCD (LED),,25.1628,6
GLED2211HDV,GRUNDIG,55,LCD (LED),,27.87,6
GLED2211HDVW,GRUNDIG,55,LCD (LED),,27.87,6
GLED2407HDB,GRUNDIG,59,LCD (LED),,31.5516,6
GLED2407HDC,GRUNDIG,59,LCD (LED),,31.5516,6
GLED2407HDCW,GRUNDIG,59,LCD (LED),,31.5516,6
GLED3211HDV*,GRUNDIG,80.133,LCD (LED),,65.121,5
