Model No,Brand,Control,Prog Name,Type,New CEC,New Star
24D33,HISENSE,59.824,LCD (LED),,23.14,0
32D33,HISENSE,80.04,LCD (LED),,23.16,0
32D36,HISENSE,80.039,LCD (LED),,28.18,0
32D50,HISENSE,80.039,LCD (LED),,27.43,0
32K220W,HISENSE,80.043,LCD (LED),,34.74,0
32K370,HISENSE,80.04,LCD (LED),,29.22,0
39K370,HISENSE,97.904,LCD (LED),,35.85,0
40D50P,HISENSE,101.657,LCD (LED),,39.65,0
40K20P,HISENSE,101.609,LCD (LED),,60.8,0
40K220PW,HISENSE,101.609,LCD (LED),,43.58,0
40K370P,HISENSE,101.609,LCD (LED),,49.09,0
40K390PA,HISENSE,101.609,LCD (LED),,49.34,0
42K320UW,HISENSE,106.731,LCD (LED),,61.76,0
50K20P,HISENSE,125.731,LCD (LED),,99.11,0
50K220PW,HISENSE,125.731,LCD (LED),,71.04,0
50K320UW,HISENSE,125.731,LCD (LED),,75.47,0
50K370PG,HISENSE,125.731,LCD (LED),,67.66,0
50K390PAD,HISENSE,125.731,LCD (LED),,72.15,0
55K20PG,HISENSE,138.783,LCD (LED),,100.39,0
55K370PG,HISENSE,138.783,LCD (LED),,68.89,0
55K390PAD,HISENSE,138.783,LCD (LED),,76.63,0
55K680UAD,HISENSE,138.783,LCD (LED),,118.46,0
60K390PAG,HISENSE,151.141,LCD (LED),,94.69,0
65K390PAD,HISENSE,163.896,LCD (LED),,74.98,0
65K680UAD,HISENSE,163.896,LCD (LED),,124.22,0
65T810UAD,HISENSE,163.896,LCD (LED),,172.5,0
75T910UAD,HISENSE,189.34,LCD (LED),,228.59,0
85T910UAD,HISENSE,214.783,LCD (LED),,267.9,0
HL19K15L,HISENSE,47.013,LCD (LED),,15.71,7
HL19K16L,HISENSE,47.013,LCD (LED),,15.17,7
HL24K15PL,HISENSE,59.809,LCD (LED),,25.53,7
HL24K16PL,HISENSE,59.809,LCD (LED),,24.97,7
HL24K20D,HISENSE,59.824,LCD (LED),,20.05,0
HL24K300L,HISENSE,59.824,LCD (LED),,24.46,7
HL24T28PL,HISENSE,59.809,LCD (LED),,29.15,6
HL24V78P,HISENSE,59.809,LCD,,39.44,5
HL24V86P,HISENSE,59.809,LCD,,47.73,4
HL24V87,HISENSE,59.824,LCD,,37.58,5.5
HL26K16PL,HISENSE,66.087,LCD (LED),,36.02,6
HL26T28L,HISENSE,66.053,LCD (LED),,46.74,5
HL26V78,HISENSE,66.741,LCD,,63.21,4
HL32K15L,HISENSE,80.039,LCD (LED),,42.28,6
HL32K160L,HISENSE,80.039,LCD (LED),,30.48,8
HL32K16L,HISENSE,80.039,LCD (LED),,37.91,7
HL32K20D,HISENSE,80.04,LCD (LED),,29.98,0
HL32K26PL,HISENSE,80.131,LCD (LED),,40.22,7
