Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DF2200,HITACHI,54.687,LCD (LED),,27.4,6
DF2200DV,HITACHI,54.687,LCD (LED),,27.4,6
DF2400DV,HITACHI,60.969,LCD (LED),,29,0
DF3200DV,HITACHI,80.043,LCD (LED),,41.2,0
DF4000,HITACHI,101.609,LCD (LED),,59.6,6
DF4000DV,HITACHI,101.609,LCD (LED),,59.6,6
DH3200,HITACHI,80.043,LCD,,36.2,6
DH3200DV,HITACHI,80.043,LCD,,36.2,6
L42EC05AU,HITACHI,107,LCD (LED),,127.6,4
L50EC05AU,HITACHI,125.725,LCD (LED),,145,5
LE24EC05AU,HITACHI,59.774,LCD (LED),,28.4,7
LE32EC04AUD,HITACHI,80.039,LCD (LED),,47.5,6
LE32EC05AU,HITACHI,80.103,LCD (LED),,63.9,5
LE39EC04AUD,HITACHI,97.974,LCD (LED),,81.87,5.5
LE42EC04AUD,HITACHI,106.731,LCD (LED),,85.1,6
LE42EC05AU,HITACHI,107,LCD,,118.7,4.5
LE42EC06AU,HITACHI,106.729,LCD (LED),,69.3,7
LE46EC04AUD,HITACHI,116.809,LCD (LED),,104.4,6
LE46EC05AU,HITACHI,117,LCD,,119.7,5
LE47EC04AU,HITACHI,120.082,LCD (LED),,96.8,6
LE50EC04AUD,HITACHI,133.183,LCD (LED),,107.6,7
LE55EC06AU,HITACHI,139.294,LCD (LED),,129.3,6
LE70EC04AUD,Hitachi,176.564,LCD (LED),,197.27,0
VC245000,HITACHI,60.969,LCD (LED),,29,0
VC325000,Hitachi,80.039,LCD (LED),,37.1,0
VC326000,HITACHI,80.039,LCD (LED),,37.1,0
VC405000,HITACHI,97.974,LCD (LED),,54.1,0
VC406000,HITACHI,97.974,LCD (LED),,54.1,0
VZ325000,HITACHI,80.039,LCD (LED),,32.1,0
VZ325100,HITACHI,85.384,LCD (LED),,30.71,0
VZ405000,HITACHI,97.974,LCD (LED),,49.1,0
VZ435100,HITACHI,111.688,LCD (LED),,66.18,0
VZ436100,HITACHI,111.684,LCD (LED),,77.44,0
VZ505000,HITACHI,125.731,LCD (LED),,79.25,0
VZ506000,HITACHI,125.731,LCD (LED),,79.25,0
VZ604000,HITACHI,152.496,LCD (LED),,135.73,0
VZ656100,HITACHI,165.464,LCD (LED),,143.94,0
