Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LT-20N330Z,JVC,49.411,LCD (LED),,25.5,0
LT-24ND33A,JVC,59.827,LCD (LED),,25.66,0
LT-24ND33Z,JVC,59.824,LCD (LED),,29.2,0
LT-24ND34Z,JVC,59.824,LCD (LED),,29.5,0
LT-32N330A,JVC,80.043,LCD (LED),,31.37,0
LT-32N350A,JVC,80.039,LCD (LED),,32.5,0
LT-32ND33A,JVC,80.043,LCD (LED),,31.56,0
LT-32ND33Z,JVC,80.054,LCD (LED),,39.18,0
LT-32ND35A,JVC,80.039,LCD (LED),,33.64,0
LT-39N530A,JVC,97.971,LCD (LED),,41.8,0
LT-39N530Z,JVC,97.971,LCD (LED),,43.61,0
LT-40N530A,JVC,101.612,LCD (LED),,36.92,0
LT-40N530AA,JVC,97.974,LCD (LED),,47.14,0
LT-40N550A,JVC,100.332,LCD (LED),,59.36,0
LT-40ND54A,JVC,100.332,LCD (LED),,43.83,0
LT-40ND55A,JVC,100.332,LCD (LED),,45.75,0
LT-42N530P,JVC,105.475,LCD (LED),,61.85,0
LT-42N530Z,JVC,106.731,LCD (LED),,58.26,0
LT-48N530A,JVC,120.896,LCD (LED),,81.82,0
LT-48N540P,JVC,120.823,LCD (LED),,75.498,0
LT-50N530A,JVC,125.727,LCD (LED),,95.97,0
LT-50N530Z,JVC,125.731,LCD (LED),,104,0
LT-50N550A,JVC,125.731,LCD (LED),,67.71,0
LT-55N540Z,JVC,138.783,LCD (LED),,94.4,0
LT-55N547A,JVC,138.783,LCD (LED),,100.21,0
LT-55N730A,JVC,138.783,LCD (LED),,117.12,0
LT55N935A,JVC,139.873,LCD,,115.3,6
