Model No,Brand,Control,Prog Name,Type,New CEC,New Star
_эKALED553DSMTZB,KOGAN,138.783,LCD (LED),,116.1,6
_эKALED55XXXZB,KOGAN,138.783,LCD (LED),,83.712,6
KAELED42XXXZA,KOGAN,106.729,LCD (LED),,62.2,7
KALCD42XXXZA,KOGAN,106.795,LCD,,126.6,4
KALED16DVDZA,KOGAN,39.486,LCD (LED),,11.43,0
KALED16XXX**,Kogan,39.486,LCD (LED),,17,6
KALED16XXXVA,KOGAN,39.486,LCD (LED),,12.35,0
KALED19DVDVA,Kogan,47.013,LCD (LED),,28.1,0
KALED19DVDVB ,KOGAN,47.013,LCD (LED),,20.2,0
KALED19DVDZA,KOGAN,47.013,LCD,,17.61,0
KALED19DVDZB,KOGAN,47.013,LCD (LED),,21.37,6
KALED19XXX**,Kogan,47.013,LCD (LED),,20,7
KALED19XXXVA,KOGAN,47.013,LCD (LED),,24.3,0
KALED19XXXZA,KOGAN,47.013,LCD (LED),,15.48,0
KALED19XXXZB,KOGAN,47.013,LCD,,18.42,0
KALED19XXXZC,KOGAN,47.013,LCD (LED),,20.7015,6
KALED24DVDVA,KOGAN,60.969,LCD (LED),,22.99,0
KALED24DVDVB,Kogan,60.368,LCD (LED),,23,0
KALED24DVDZA,KOGAN,59.809,LCD,,28.06,0
KALED24DVDZC,KOGAN,60.47,LCD (LED),,27.13,0
KALED24XXXVA,KOGAN,59.81,LCD (LED),,22.86,0
KALED24XXXVB,KOGAN,60.969,LCD (LED),,22.61,0
KALED24XXXZA,KOGAN,59.809,LCD,,26.16,0
KALED24XXXZC,KOGAN,60.47,LCD (LED),,26.48,0
KALED28DVDVA,Kogan,69.867,LCD (LED),,19.773,0
KALED28DVDZA,KOGAN,69.863,LCD,,29.75,0
KALED28DVDZB,KOGAN,69.866,LCD (LED),,27.85,0
KALED28XXXZA,KOGAN,69.863,LCD,,30.11,0
KALED32DVDVA,KOGAN,80.043,LCD (LED),,36.1,0
KALED32DVDZA,KOGAN,80.039,LCD,,32.65,0
KALED32DVDZC,KOGAN,80.039,LCD (LED),,25.73,6
KALED32DVDZD,KOGAN,80.039,LCD (LED),,26.118,6
KALED32GFCA,KOGAN,80.822,LCD (LED),,40.56,0
KALED32SMTZA,KOGAN,80.06,LCD (LED),,38.11,0
KALED32SMTZB,KOGAN,80.039,LCD (LED),,38.45,0
KALED32XXXVA,KOGAN,80.043,LCD (LED),,36.3,0
KALED32XXXZA,KOGAN,80.06,LCD,,41.68,0
KALED32XXXZB,KOGAN,80.039,LCD,,33.65,0
KALED32XXXZC,KOGAN,80.039,LCD (LED),,24.86,6
KALED40XXXTA ,KOGAN,101.609,LCD (LED),,51.79,0
KALED40XXXTB,KOGAN,100.332,LCD (LED),,39.1,0
KALED40XXXZA,KOGAN,101.612,LCD (LED),,59.78,0
KALED40XXXZB,KOGAN,101.609,LCD (LED),,54.51,6
KALED40XXXZC,KOGAN,101.607,LCD,,47.27,0
KALED423DSMTZA,KOGAN,106.467,LCD (LED),,72.6,0
KALED423DSMTZB,KOGAN,105.475,LCD,,65.43,0
KALED423DXZA,KOGAN,106.97,LCD (LED),,70.87,7
KALED42SMTZA,KOGAN,108.635,LCD (LED),,70.46,0
KALED42UHDZA,KOGAN,106.731,LCD (LED),,68.13,0
KALED42XXXZA,KOGAN,106.731,LCD (LED),,68.62,6
KALED42XXXZA,KOGAN,106.729,LCD (LED),,103.2,5
KALED42XXXZB,KOGAN,106.729,LCD (LED),,62.2,7
KALED42XXXZC,KOGAN,105.475,LCD,,62.34,0
KALED463D1A,KOGAN,116.073,LCD,,80.2,6
KALED46XX1ZA,Kogan,116.769,LCD,,101.5,5.5
KALED46XXXZA,KOGAN,116.809,LCD,,89.2,5.5
KALED473DSMTZA,KOGAN,119.287,LCD (LED),,67.6,0
KALED473DXZA,KOGAN,119.265,LCD (LED),,75.4,6
KALED503DSA,KOGAN,125.725,LCD (LED),,114.2,5.5
KALED503DZA,KOGAN,125.731,LCD,,83.77,7
KALED50XXXTA,KOGAN,125.725,LCD (LED),,79.5,0
KALED50XXXVA,KOGAN,125.731,LCD (LED),,93.8,0
KALED50XXXZA,KOGAN,125.731,LCD (LED),,71.874,6
KALED50XXXZB,KOGAN,125.727,LCD,,79.83,0
KALED553D1A,Kogan,138.711,LCD,,113.3,6
KALED553DSMTZA,KOGAN,139.873,LCD (LED),,107.1,0
KALED553DXZA,KOGAN,139.045,LCD (LED),,119,6
KALED553DXZB,KOGAN,139.873,LCD,,96.25,0
KALED55SMTZA,KOGAN,140.943,LCD (LED),,102.28,0
KALED55UHDZA,KOGAN,138.783,LCD (LED),,85.75,0
KALED55UHDZB,KOGAN,138.78,LCD (LED),,94.626,6
KALED55UHDZC,KOGAN,138.783,LCD (LED),,71.64,6
KALED55UHDZD,KOGAN,138.783,LCD (LED),,74.604,6
KALED55XX**,Kogan,138.783,LCD (LED),,165,5
KALED55XX1A,KOGAN,138.711,LCD,,124.81,6
KALED55XX1ZA,Kogan,138.711,LCD,,124.81,6
KALED55XXXZA,KOGAN,138.783,LCD (LED),,88.992,6
KALED65UHDZA,KOGAN,163.888,LCD (LED),,160.55,0
KDL46MS95AD,KOGAN,116.073,LCD,,80.2,6
KDL55MS30AD,KOGAN,139.045,LCD (LED),,119,6
KGN1080P32VAA,Kogan,81,LCD,,90.26,3.5
KGN1080P32VBA,Kogan,81,LCD,,90.26,3.5
KGN1080P32VBA,Kogan,80.131,LCD,,90.26,3.5
KGN1080P32VCA,Kogan,81,LCD,,90.26,3.5
KGN1080P32VDA,Kogan,81,LCD,,90.26,3.5
KGN1080P40VAA,Kogan,101,LCD (LED),,113,4.5
KGN1080P40VBA,Kogan,101,LCD (LED),,113,4.5
KGN1080P40VCA,Kogan,101,LCD (LED),,113,4.5
KGN1080P40VDA,Kogan,101,LCD (LED),,113,4.5
KGN1080P40VDA,Kogan,101.607,LCD,,182.2,2
KGN1080P42VAA,Kogan,106.7,LCD,,168.8,3
KGN1080P42VAA,Kogan,107.225,LCD,,168.8,3
KGN1080P42VBA,Kogan,106.7,LCD,,168.8,3
KGN1080P42VBA,Kogan,106.731,LCD,,187.6,2.5
KGN1080P42VCA,Kogan,106.7,LCD,,168.8,3
KGN1080P42VDA,Kogan,106.7,LCD,,168.8,3
KGN1080P46VAA,Kogan,116,LCD,,211,2.5
KGN1080P46VAA,Kogan,116.809,LCD,,211.1,2.5
KGN1080P46VAB,Kogan,116.809,LCD,,211.1,2.5
KGN1080P46VBA,Kogan,116,LCD,,211,2.5
KGN1080P46VCA,Kogan,116,LCD,,211,2.5
KGN1080P46VDA,Kogan,116,LCD,,211,2.5
KGN1080P47VAA,Kogan,119.4,LCD,,220.1,2.5
KGN1080P47VBA,Kogan,119.4,LCD,,220.1,2.5
KGN1080PBD32VAA,Kogan,88,LCD,,93.2,4
KGN1080PBD32VBA,Kogan,88,LCD,,93.2,4
KGN1080PBD32VCA,Kogan,88,LCD,,93.2,4
KGN1080PBD32VDA,Kogan,88,LCD,,93.2,4
KGN1080PPRO22VAA,Kogan,55.9,LCD,,48.3,4
KGN1080PPRO22VBA,Kogan,55.9,LCD,,48.3,4
KGN1080PPRO22VBA,Kogan,54.683,LCD,,48.6,4
KGN1080PPRO22VCA,Kogan,55.9,LCD,,48.3,4
KGN1080PPRO22VDA,Kogan,55.9,LCD,,48.3,4
KGN1080PPRO26VDA,Kogan,66.053,LCD,,64.05,4
KGN1080PPRO32VAA,Kogan,80,LCD,,102.43,3
KGN1080PPRO32VBA,Kogan,80,LCD,,102.43,3
KGN1080PPRO32VCA,Kogan,80,LCD,,102.43,3
KGN1080PPRO32VDA,Kogan,80,LCD,,102.43,3
KGN1080PPRO32VDA,Kogan,80.128,LCD,,102.43,3
KGNFHD32HVAA,Kogan,81.3,LCD,,104.56,3
KGNFHD32KVAA,KOGAN,80.13,LCD,,100.84,3
KGNFHD42HVAA,Kogan,106.7,LCD,,193.86,2.5
KGNFHD42KVAA,KOGAN,107.87,LCD,,148.79,3.5
KGNFHDLED22VBA,Kogan,55.6,LCD (LED),,32.2,5.5
KGNFHDLED22VCA,Kogan,55.6,LCD (LED),,32.2,5.5
KGNFHDLED22VDA,Kogan,55.6,LCD (LED),,32.2,5.5
KGNFHDLED24VBA,Kogan,60.7,LCD (LED),,32.6,6
KGNFHDLED24VCA,Kogan,60.7,LCD (LED),,32.6,6
KGNFHDLED24VDA,Kogan,60.7,LCD (LED),,32.6,6
KGNFHDLED26VAA,Kogan,66,LCD (LED),,59.5,4
KGNFHDLED26VBA,Kogan,66,LCD (LED),,59.5,4
KGNFHDLED26VCA,Kogan,66,LCD (LED),,59.5,4
KGNFHDLED26VDA,Kogan,66,LCD (LED),,59.5,4
KGNFHDLED32VAA,KOGAN,80.13,LCD,,84.44,4
KGNFHDLED42KVBA,KOGAN,107.68,LCD,,99.3,5.5
KGNFHDLED42VAA,KOGAN,107.68,LCD,,109.19,5
KGNFHDLED46VAA,KOGAN,116.81,LCD,,95.4,6
KGNFHDLED55VAA,KOGAN,138.14,LCD,,136.35,6
KGNPRO16VAA,Kogan,40.5,LCD,,27.81,4.5
KGNPRO16VBA,Kogan,40.5,LCD,,27.81,4.5
KGNPRO16VCA,Kogan,40.5,LCD,,27.81,4.5
KGNPRO16VDA,Kogan,40.5,LCD,,27.81,4.5
KGNPRO19VAA,Kogan,48.3,LCD,,36.7,4.5
KGNPRO19VBA,Kogan,48.3,LCD,,36.7,4.5
KGNPRO19VCA,Kogan,48.3,LCD,,36.7,4.5
KGNPRO19VDA,Kogan,48.3,LCD,,36.7,4.5
KGNPRO26VAA,Kogan,66,LCD,,83.5,2.5
KGNPRO26VBA,Kogan,66,LCD,,83.5,2.5
KGNPRO26VCA,Kogan,66,LCD,,83.5,2.5
KGNPRO26VDA,Kogan,66,LCD,,83.5,2.5
KGPRO19VBA,Kogan,47.013,LCD,,39.75,4
LC-19A78V,Kogan,47.013,LCD,,39.75,4
LC-22A40(DVB-T),Kogan,54.683,LCD,,48.6,4
LC-22A40(DVB-T+DVD),Kogan,54.683,LCD,,48.6,4
LC-22A41(DVB-T),Kogan,54.683,LCD,,48.6,4
LC-22A41(DVB-T+DVD),Kogan,54.683,LCD,,48.6,4
