Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KDE55JT303A,KONKA,138.783,LCD (LED),,80.11,8
KDG32JT542A,KONKA,80.06,LCD,,37.92,7
KDG32JT620A,KONKA,80.06,LCD (LED),,32,8
KDG50JT628A,KONKA,125.727,LCD (LED),,88.734,7
KDL19GS618A,KONKA,47.013,LCD (LED),,19.01,6
KDL19GS619A,KONKA,47.013,LCD (LED),,19.01,6
KDL19MS510A,KONKA,47.013,LCD,,21,6
KDL19MS512A,KONKA,47.013,LCD,,21,6
KDL24GS618A,KONKA,59.827,LCD (LED),,23.25,7
KDL24MS510A,KONKA,59.827,LCD,,23,7
KDL32ES620A,KONKA,80.06,LCD (LED),,32,8
KDL32GS618A,KONKA,80.06,LCD (LED),,33.6,7
KDL32GS619A,KONKA,80.06,LCD (LED),,33.6,7
KDL32JS80A,KONKA,80.13,LCD,,100.84,3
KDL32MS611A,KONKA,80.623,LCD (LED),,48.2,6
KDL32MS615A,KONKA,80.043,LCD (LED),,46.1,6
KDL32MS65A,KONKA,80.623,LCD (LED),,48.2,6
KDL39GS618A,KONKA,97.903,LCD (LED),,51.25,7
KDL39MS615A,KONKA,98.489,LCD (LED),,69.4,6
KDL40ES620A,KONKA,101.612,LCD (LED),,63.1,6
KDL40GS518A,KONKA,101.612,LCD (LED),,39.01,8
KDL40MT627AN,KONKA,101.612,LCD (LED),,60.9,7
KDL42GS618A,KONKA,105.475,LCD (LED),,56.7,7
KDL42JS80A,KONKA,107.87,LCD,,148.79,3.5
KDL42MS611A,KONKA,106.729,LCD (LED),,62.2,7
KDL48GS618A,KONKA,120.94,LCD (LED),,101.56,6
KDL50MS701A,KONKA,125.736,LCD (LED),,74.9,7
KDL55JT611A,KONKA,143.027,LCD (LED),,96.4,8
