Model No,Brand,Control,Prog Name,Type,New CEC,New Star
105UC9T-TA,LG,265.901,LCD (LED),,260.64,9
22CS460-TA,LG,54.768,LCD,,31.4,5
22LD320H-TA,LG,54.768,LCD,,33.66,5
22LD320H-TB,LG,54.768,LCD,,32.05,5.5
22LD352C-TA,LG,54.768,LCD,,36.3,5
22LE6500-TA,LG,54.683,LCD (LED),,34.26,5
22LK330-TB,LG,54.768,LCD,,34.44,5
22LK330-TH,LG,54.768,LCD,,31.5,5
22LK335C-TB,LG,54.768,LCD,,34.44,5
22LN4500,LG,54.768,LCD (LED),,19.5,8
22LS3500-TB,LG,54.768,LCD,,18.6,7
22LT360C-TA,LG,54.768,LCD (LED),,19.5,7
22LT365H-TA,LG,54.768,LCD (LED),,19.5,7
22LT650H-TA,LG,54.773,LCD (LED),,21.78,7
22LV2530-TD,LG,54.683,LCD,,23.82,6
22LV2530-TK,LG,54.683,LCD (LED),,25.02,6
22LY330C-TA,LG,54.629,LCD (LED),,14.1,7
22MA33D,LG,54.768,LCD (LED),,19.3,8
22MA53D,LG,54.625,LCD (LED),,20.2,8
22MN43D,LG,54.625,LCD (LED),,22.6,7
22MT45D,LG,54.625,LCD (LED),,14.6,9
22MT55D,LG,54.625,LCD (LED),,17.1,9
22MT57D,LG,54.625,LCD (LED),,18.3,9
23MA53D,LG,58.422,LCD (LED),,18.2,8
24LN4500,LG,59.827,LCD (LED),,26,7
24MA53D,LG,60.468,LCD (LED),,20.2,8
24MN33D,LG,59.827,LCD (LED),,17.6,9
24MN43D,LG,59.81,LCD (LED),,21.9,7
24MT45D,LG,59.827,LCD (LED),,16.7,9
24MT47D,LG,59.827,LCD (LED),,17.6,9
24MT55D,LG,60.468,LCD (LED),,18,9
26CS460-TA,LG,66.055,LCD,,55.9,4
26LD320H-TA,LG,66.055,LCD,,55.8,4
26LD320H-TB,LG,66.055,LCD,,54.65,4
26LD352C-TA,LG,66.055,LCD (LED),,58.97,4
26LE3300-TA,LG,66.065,LCD (LED),,36.66,6
26LE6500-TA,LG,66.087,LCD (LED),,42.66,5
26LH200C-TA,LG,66.055,LCD,,72.94,3
26LK330-TB,LG,66.055,LCD,,52.5,4.5
26LK330-TH,LG,66.055,LCD,,51.18,4.5
26LK335C-TB,LG,66.055,LCD,,54.06,4
26LK335H-TB,LG,66.055,LCD,,57.23,4
26LN4500,LG,66.055,LCD (LED),,30.9,7
26LS3500-TB,LG,66.055,LCD,,32.4,6
26LT360C-TA,LG,66.065,LCD (LED),,31.5,6
26LT365H-TA,LG,66.065,LCD (LED),,31.5,6
26LT640H-TA,LG,66.065,LCD (LED),,30.4,6
26LT650H-TA,LG,66.065,LCD (LED),,30.4,6
26LV2510-TB,LG,66.065,LCD,,32.58,6
26LV2530-TD,LG,66.065,LCD,,32.58,6
26LV2530-TK,LG,66.065,LCD (LED),,30.42,6
26MA33D,LG,66.055,LCD (LED),,22.2,8
27MA53D,LG,68.599,LCD (LED),,23.2,8
27MT55D,LG,68.599,LCD (LED),,18.9,9
27MT57D,LG,68.599,LCD (LED),,21.1,9
27MT93D,LG,68.599,LCD (LED),,27.1,8
28LN4500,LG,69.863,LCD (LED),,18.6,8
28LY330C-TA,LG,69.863,LCD (LED),,17.58,9
28MN30D,LG,69.863,LCD (LED),,18.6,8
28MT45D,LG,69.863,LCD (LED),,17.6,8
29MA73D,LG,73.021,LCD (LED),,27.8,8
29MN33D,LG,72.4,LCD (LED),,25.2,8
29MT45D,LG,72.4,LCD (LED),,25.9,8
32CS460-TA,LG,80.043,LCD,,72.8,4
32LA6230-TB,LG,80.133,LCD (LED),,36.24,7
32LB551B-TC,LG,80.043,LCD (LED),,28.5,7
32LB5610-TC,LG,80.043,LCD (LED),,28.02,7
32LB563B-TD,LG,80.043,LCD (LED),,28.02,7
32LB5820-TB,LG,80.043,LCD (LED),,38.86,7
32LB6500-TH,LG,80.043,LCD (LED),,32.94,7
32LD320H-TB,LG,80.133,LCD,,88.15,3.5
32LD352C-TA,LG,80.043,LCD,,71.04,4.5
32LD462B-TA,LG,80.128,LCD,,74.22,4
32LD462C-TA,LG,80.128,LCD,,81.64,4
32LE3300-TA,LG,80.043,LCD (LED),,46.86,6
32LE4500-TA,LG,80.133,LCD (LED),,63.12,5
32LE5310-TC,LG,80.043,LCD (LED),,46.86,6
32LF550B-TA,LG,80.043,LCD (LED),,28.38,7
32LF560B-TB,LG,80.043,LCD (LED),,28.92,7
32LF6300-TA,LG,80.043,LCD (LED),,31.62,7
32LF631V-TB,LG,80.043,LCD (LED),,31.62,7
32LH200C-TA,LG,80.043,LCD,,97.48,3
32LH220H-TA,LG,80.043,LCD,,85.1,4
32LK330-TB,LG,80.043,LCD,,74.16,4
32LK330-TH,LG,80.043,LCD,,72.72,4
32LK335C-TB,LG,80.043,LCD,,75.78,4
32LK335H-TB,LG,80.133,LCD,,75.45,4
32LK430-TB,LG,80.133,LCD,,61.62,5
32LK450-TA,LG,80.133,LCD,,62.28,5
32LK450-TG,LG,80.133,LCD,,61.26,5
32LK455C-TA,LG,80.133,LCD,,67.5,4.5
32LK455H-TA,LG,80.133,LCD,,71.51,4
32LK457C-TA,LG,80.043,LCD,,72.28,4
32LM3400-TB,LG,80.043,LCD (LED),,40.7,6
32LM6200-TA,LG,80.133,LCD (LED),,42.6,6
32LM6400-TA,LG,80.133,LCD (LED),,41.1,6
32LM6410-TB,LG,80.133,LCD (LED),,41.1,6
32LM6690-TC,LG,80.133,LCD (LED),,41.6,6
32LN5400-TA,LG,80.133,LCD (LED),,38.32,7
32LN541B-TB,LG,80.043,LCD (LED),,41.76,7
32LN549C-TA,LG,80.043,LCD (LED),,39.9,7
32LN549E-TA,LG,80.043,LCD (LED),,40.28,7
32LN571B-TE,LG,80.043,LCD (LED),,34.44,8
32LP360H-TA,LG,80.043,LCD (LED),,39.9,7
32LP620H-TA,LG,80.043,LCD (LED),,40.28,7
32LS3400-TA,LG,80.043,LCD,,39.9,6
32LS3450-TA,LG,80.043,LCD (LED),,32.7,7
32LS345H-TA,LG,80.043,LCD (LED),,34.24,7
32LS3500-TB,LG,80.043,LCD,,35.1,7
32LS4600-TA,LG,80.133,LCD (LED),,42.72,6
32LS5700-TB,LG,80.133,LCD (LED),,43.02,6
32LT360C-TA,LG,80.043,LCD (LED),,29.9,8
32LT640H-TA,LG,80.043,LCD (LED),,31.5,8
32LT650H-TA,LG,80.043,LCD (LED),,31.5,8
32LT760H-TA,LG,80.043,LCD (LED),,41.1,6
32LV2510-TB,LG,80.043,LCD,,43.2,6
32LV2530-TD,LG,80.043,LCD,,43.2,6
