Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ART 32 LED 100 2CL+ DR+ 50412T47,LOEWE,80,LCD (LED),,73,4.5
ART 32 LED 100 2CL+ DR+ 50412U47,LOEWE,80,LCD (LED),,73,4.5
ART 32 LED 100 2CL+ DR+ 50412W47,LOEWE,80,LCD (LED),,73,4.5
ART 32 LED 100 CL+ 50412T80,LOEWE,80,LCD (LED),,70,4.5
ART 32 LED 100 CL+ 50412U80,LOEWE,80,LCD (LED),,70,4.5
ART 32 LED 100 CL+ 50412W80,LOEWE,80,LCD (LED),,70,4.5
ART 32 LED 50412_81,LOEWE,80.623,LCD (LED),,56,5.5
ART 40 3D 51413_80,LOEWE,102.083,LCD (LED),,88,5.5
Art 40 52435x85,Loewe,97.617,LCD (LED),,51,0
Art 40 54457x80,Loewe,101.637,LCD (LED),,0.94,0
ART 40 LED 200 2CL+ DR+ 50414T47,LOEWE,102,LCD (LED),,86,5.5
ART 40 LED 200 2CL+ DR+ 50414U47,LOEWE,102,LCD (LED),,86,5.5
ART 40 LED 200 2CL+ DR+ 50414W47,LOEWE,102,LCD (LED),,86,5.5
ART 40 LED 200 CL+ 50414T80,LOEWE,102,LCD (LED),,83,5.5
ART 40 LED 200 CL+ 50414U80,LOEWE,102,LCD (LED),,83,5.5
ART 40 LED 200 CL+ 50414W80,LOEWE,102,LCD (LED),,83,5.5
ART 46 3D DR+ 51414_47,LOEWE,117.337,LCD (LED),,106,5.5
Art 50 52436x85,Loewe,126.27,LCD (LED),,73,0
Art 55 UHD 54459x80,Loewe,138.798,LCD (LED),,167,0
Art 60 52437x85,Loewe,152.689,LCD (LED),,108,0
Connect 22 SL LED 50405_80,LOEWE,61.27,LCD (LED),,34,5.5
Connect 26 SL LED 50401_80,LOEWE,66.049,LCD (LED),,45,5
Connect 32 3D DR+ 51408T42,LOEWE,80,LCD (LED),,65,5
Connect 32 3D DR+ 51408U42,LOEWE,80,LCD (LED),,65,5
Connect 32 3D DR+ 51408W2,LOEWE,80,LCD (LED),,65,5
Connect 40 54445x50,Loewe,101.637,LCD (LED),,81,0
CONNECT 40 LED 200 50404T82,LOEWE,102,LCD (LED),,86,5.5
CONNECT 40 LED 200 50404U82,LOEWE,102,LCD (LED),,86,5.5
CONNECT 40 LED 200 50404W82,LOEWE,102,LCD (LED),,86,5.5
Connect 40 MEDIA 3D DR+ 50409T42,LOEWE,102,LCD (LED),,92,5
Connect 40 MEDIA 3D DR+ 50409U42,LOEWE,102,LCD (LED),,92,5
Connect 40 MEDIA 3D DR+ 50409W42,LOEWE,102,LCD (LED),,92,5
Connect 55 54443x50,Loewe,138.798,LCD (LED),,169,0
Connect ID 32 DR+ 51462_44,LOEWE,80.131,LCD (LED),,63,5
Connect ID 40 DR+ 52463x44,Loewe,102.083,LCD (LED),,63,0
Connect ID 46 DR+ 52464x44,Loewe,116.846,LCD (LED),,67,0
Connect ID 55 DR+ 51465_44,LOEWE,138.798,LCD (LED),,92,7
Connect ID 55 DR+ 52465x44,Loewe,138.798,LCD (LED),,82,0
CONNECT MEDIA 40 LED 200 2CL+ DR+ 50404T42,LOEWE,102,LCD (LED),,90,5
CONNECT MEDIA 40 LED 200 2CL+ DR+ 50404U42,LOEWE,102,LCD (LED),,90,5
CONNECT MEDIA 40 LED 200 2CLl+ DR+ 50404W42,LOEWE,102,LCD (LED),,90,5
Individual 32 Media 3D DR+ 51425B47,LOEWE,80,LCD (LED),,66,4.5
Individual 32 Media 3D DR+ 51425L47,LOEWE,80,LCD (LED),,66,4.5
Individual 32 Media 3D DR+ 51425U47,LOEWE,80,LCD (LED),,66,4.5
Individual 40 52401x41,Loewe,100.722,LCD (LED),,96,0
Individual 40 Compose 3D DR+ 50430_44,LOEWE,102.083,LCD (LED),,96,5
Individual 40 Compose 3D DR+ 50430B48,LOEWE,101,LCD (LED),,102,4.5
Individual 40 Compose 3D DR+ 50430L48,LOEWE,101,LCD (LED),,102,4.5
Individual 40 Compose 3D DR+ 50430U48,LOEWE,101,LCD (LED),,102,4.5
INDIVIDUAL 40 SELECTION FHD 100 DR+ 67442B39,LOEWE,102,LCD,,192,2
INDIVIDUAL 40 SELECTION FHD 100 DR+ 67442N39,LOEWE,102,LCD,,192,2
INDIVIDUAL 40 SELECTION FHD 100 DR+ 67442U39,LOEWE,102,LCD,,192,2
Individual 46 52402x41,Loewe,116.846,LCD (LED),,109,0
Individual 46 Compose 3D DR+ 50431_44,LOEWE,117.337,LCD (LED),,111,5.5
Individual 46 Compose 3D DR+ 50431B48,LOEWE,117,LCD (LED),,112,5.5
Individual 46 Compose 3D DR+ 50431L48,LOEWE,117,LCD (LED),,112,5.5
Individual 46 Compose 3D DR+ 50431U48,LOEWE,117,LCD (LED),,112,5.5
Individual 55 52403x41,Loewe,138.798,LCD (LED),,120,0
Individual 55 Compose 3D DR+ 50432B48,LOEWE,140,LCD (LED),,140,5.5
Individual 55 Compose 3D DR+ 50432L48,LOEWE,140,LCD (LED),,140,5.5
Individual 55 Compose 3D DR+ 50432U48,LOEWE,140,LCD (LED),,140,5.5
Loewe  Connect Media 32 FHD100 68417T76,LOEWE,81,LCD,,128,2
Loewe  Connect Media 32 FHD100 68417U76,LOEWE,81,LCD,,128,2
Loewe  Connect Media 32 FHD100 68417W76,LOEWE,81,LCD,,128,2
Loewe  Individual Compose 40  LED 400 DR+ 69408B44,LOEWE,101,LCD (LED),,117,4
Loewe  Individual Compose 40  LED 400 DR+ 69408U44,LOEWE,101,LCD (LED),,117,4
Loewe  Individual Compose 40 LED 400 DR+ 69408L44,LOEWE,101,LCD (LED),,117,4
Loewe  Xelos 42 SL 69416T80,LOEWE,106,LCD (LED),,171,3
Loewe  Xelos 42 SL 69416W80,LOEWE,106,LCD (LED),,171,3
Loewe ART 37 SL FHD+ 100 DR+  68423T39,LOEWE,94,LCD,,129,3
Loewe ART 37 SL FHD+ 100 DR+ 68423U39,LOEWE,94,LCD,,129,3
Loewe ART 37 SL FHD+ 100 DR+ 68423W39,LOEWE,94,LCD,,129,3
LOEWE Connect ID 40 DR+ 51463_44,LOEWE,102.083,LCD (LED),,72,6
LOEWE Connect ID 46 DR+51464_44,LOEWE,117.091,LCD (LED),,81,6
Loewe Connect Media 32 FHD100 DR + 68417T31,LOEWE,81,LCD,,133,1.5
Loewe Connect Media 32 FHD100 DR + 68417U31,LOEWE,81,LCD,,133,1.5
Loewe Connect Media 32 FHD100 DR + 68417W31,LOEWE,81,LCD,,133,1.5
Loewe INDIVIDUAL 32 COMPOSE LED 100 69415B47,LOEWE,80,LCD (LED),,77,4
Loewe INDIVIDUAL 32 COMPOSE LED 100 69415L47,LOEWE,80,LCD (LED),,77,4
Loewe INDIVIDUAL 32 COMPOSE LED 100 69415U47,LOEWE,80,LCD (LED),,77,4
Loewe INDIVIDUAL 32 SELECT LED 100 69415B80,LOEWE,80,LCD (LED),,74,4
Loewe INDIVIDUAL 32 SELECT LED 100 69415L80,LOEWE,80,LCD (LED),,74,4
Loewe INDIVIDUAL 32 SELECT LED 100 69415U80,LOEWE,80,LCD (LED),,74,4
Loewe INDIVIDUAL 40 COMPOSE LED 400 DR + 69408B48,LOEWE,101,LCD (LED),,117,4
Loewe INDIVIDUAL 40 COMPOSE LED 400 DR + 69408L48,LOEWE,101,LCD (LED),,117,4
Loewe INDIVIDUAL 40 COMPOSE LED 400 DR + 69408U48,LOEWE,101,LCD (LED),,117,4
Loewe INDIVIDUAL 40 SELECTION LED 200 69418B80,LOEWE,101,LCD (LED),,105,4.5
Loewe INDIVIDUAL 40 SELECTION LED 200 69418L80,LOEWE,101,LCD (LED),,105,4.5
Loewe INDIVIDUAL 40 SELECTION LED 200 69418U80,LOEWE,101,LCD (LED),,105,4.5
Loewe INDIVIDUAL 40 SELECTION LED 200 DR + 69418B47,LOEWE,101,LCD (LED),,110,4.5
Loewe INDIVIDUAL 40 SELECTION LED 200 DR + 69418L47,LOEWE,101,LCD (LED),,110,4.5
Loewe INDIVIDUAL 40 SELECTION LED 200 DR + 69418U47,LOEWE,101,LCD (LED),,110,4.5
Loewe INDIVIDUAL 46 COMPOSE LED 400 DR + 69409B48,LOEWE,117,LCD (LED),,125,5
Loewe INDIVIDUAL 46 COMPOSE LED 400 DR + 69409L48,LOEWE,117,LCD (LED),,125,5
Loewe INDIVIDUAL 46 COMPOSE LED 400 DR + 69409U48,LOEWE,117,LCD (LED),,125,5
Loewe INDIVIDUAL 46 SELECTION LED 200 69419B80,LOEWE,117,LCD (LED),,113,5.5
Loewe INDIVIDUAL 46 SELECTION LED 200 69419L80,LOEWE,117,LCD (LED),,113,5.5
Loewe INDIVIDUAL 46 SELECTION LED 200 69419U80,LOEWE,117,LCD (LED),,113,5.5
Loewe INDIVIDUAL 46 SELECTION LED 200 DR + 69419B47,LOEWE,117,LCD (LED),,118,5
Loewe INDIVIDUAL 46 SELECTION LED 200 DR + 69419L47,LOEWE,117,LCD (LED),,118,5
Loewe INDIVIDUAL 46 SELECTION LED 200 DR + 69419U47,LOEWE,117,LCD (LED),,118,5
