Model No,Brand,Control,Prog Name,Type,New CEC,New Star
Aurus 47 3D Media twin R,Metz,119.324,LCD (LED),,88,6
Axio pro 26 LED CT Z,Metz,66.242,LCD (LED),,66,3.5
Axio pro 26 LED Media Z,Metz,66.242,LCD (LED),,49,5
Axio pro 32 LED 200 CTS2 Z,Metz,80.103,LCD (LED),,59,5.5
Axio pro 37 LED 200 CTS2 Z,Metz,94.021,LCD (LED),,69,6
Axio pro 42 LED 200 CTS2 Z,Metz,106.697,LCD (LED),,79,6
Axio pro 42 LED 200 Media twin R,Metz,106.697,LCD (LED),,78.5,6
Caleo 37 LED 100 twin R,Metz,94.021,LCD (LED),,115,3.5
Caleo 37 LED 200 Media twin R,Metz,94.021,LCD (LED),,73,5.5
Caleo 42 LED 200 Media twin R,Metz,106.697,LCD (LED),,73.6,6
Caleo 47 3D Media twin R,Metz,119.324,LCD (LED),,84,7
Caleo 47 LED 100 twin R,Metz,119.324,LCD (LED),,130,5
Caleo 47 LED 200 Media twin R,Metz,119.324,LCD (LED),,81,7
Linus 32 LED 100 twin Z,Metz,80.103,LCD (LED),,106,3
Linus 32 LED 200 CTS2 Z,Metz,80.103,LCD (LED),,61,5.5
Linus 32 LED 200 Media twin Z,Metz,80.103,LCD (LED),,63,5
Linus 37 LED 100 twin Z,Metz,94.021,LCD (LED),,117,3.5
Linus 37 LED 200 CTS2 Z,Metz,94.021,LCD (LED),,70,6
Linus 37 LED 200 Media twin Z,Metz,94.021,LCD (LED),,72,5.5
Linus 42 LED 100 twin Z,Metz,106.697,LCD (LED),,119,4.5
Linus 42 LED 200 CTS2 Z,Metz,106.697,LCD (LED),,80,6
Linus 42 LED 200 Media twin Z,Metz,106.697,LCD (LED),,82,6
Primus 42 3D Media twin R,Metz,106.697,LCD (LED),,97,5.5
Primus 42 LED 200 twin R,Metz,106.697,LCD (LED),,136,4
Primus 55 3D Media twin R,Metz,139.479,LCD (LED),,120,6
Primus 55 LED 200 twin R,Metz,139.741,LCD (LED),,233,3.5
Sirius 37 LED 100 twin R,Metz,94.021,LCD (LED),,118,3.5
Sirius 42 LED 200 twin R,Metz,106.697,LCD (LED),,136,4
Taros 32 LED Media twin Z,Metz,80.103,LCD (LED),,57.5,5.5
Taros 37 LED Media twin Z,Metz,94.021,LCD (LED),,57.5,6
Taros 42 LED Media twin Z,Metz,106.697,LCD (LED),,62,7
