Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ELF215A0WF3DF,NEONIQ,54.687,LCD (LED),,31.1,6
ELF22A0WF3DF,NEONIQ,55.868,LCD (LED),,24.3,7
ELH185A0WF3DF,NEONIQ,47.013,LCD (LED),,27.1,5.5
ELLE3220,NEONIQ,86.232,LCD,,57.84,6
ELTL22EXFHDD ,NEONIQ,54.77,LCD,,43.66,4
ELTL32EXFHDD,NEONIQ,80.131,LCD,,133.78,1.5
ELYS4215,NEONIQ,106.68,Plasma,,138.2,4
LCD26H3,NEONIQ,66.04,LCD (LED),,63.6,4
LCD32H3,NEONIQ,88,LCD,,102.2,4
LCD3888HD,NEONIQ,81.28,LCD,,137.78,1.5
LCF3218,NEONIQ,81.28,LCD,,137.78,1.5
LCF3292,NEONIQ,81.28,LCD,,91.7,3.5
LCH2292D,NEONIQ,55.88,LCD,,48,4
LCH2692D,NEONIQ,66.04,LCD,,58.8,4
LCH3292D,NEONIQ,81.28,LCD,,107.2,3
LED2401,NEONIQ,59.944,LCD (LED),,40.5,5
LT-2218,NEONIQ,54.687,LCD,,31.61,5.5
N3218CDVD,NEONIQ,80.043,LCD (LED),,31.56,0
N5018C,NEONIQ,125.727,LCD (LED),,95.97,0
TCM22FHDDVD,NEONIQ,55.88,LCD,,45.83,4
TCM22LEDFHD,NEONIQ,54.687,LCD (LED),,20.42,7
TCM32LEDFHD,NEONIQ,80.131,LCD (LED),,87.43,3.5
TCM4201FHD,NEONIQ,113.93,LCD,,179.68,3.5
TCM42FHD,NEONIQ,113.93,LCD,,177.23,3.5
TL1601,NEONIQ,39.624,LCD,,20.52,6
TL185F2,NEONIQ,46.99,LCD,,35,4.5
TL185F2,NEONIQ,46.99,LCD,,30.2,5
TL19F3DVDB,NEONIQ,47.013,LCD,,30,5
TL19F3DVDP,NEONIQ,47.013,LCD,,30,5
TL19F3DVDR,NEONIQ,47.013,LCD,,30,5
TL19F3DVDU,NEONIQ,47.013,LCD,,30,5
TL19F3DVDW,NEONIQ,47.013,LCD,,30,5
TL215F10-BTP,NEONIQ,54.683,LCD (LED),,24.8,7
