Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LE15M1,ONIX,39,LCD,,21.47,5.5
LE19Y1,ONIX,47,LCD,,23.27,6
LE22QS98,ONIX,54.7,LCD (LED),,36.3,5
LE22YC1,ONIX,54,LCD,,28.05,6
LE23Y1,ONIX,57,LCD,,31.3,6
LE32A3,ONIX,80.054,LCD (LED),,53.7,6
OM-32DLEC,ONIX,80.039,LCD (LED),,38.1,7
ON-26FHD1,ONIX,66.09,LCD,,66.8,3.5
"ON-32LC3D1 	",ONIX,80.054,LCD,,85,4
ON2200DV,ONIX,54.687,LCD,,21.5,0
ON3200DV,ONIX,80.04,LCD (LED),,35.8,0
ON4000DV,ONIX,101.612,LCD (LED),,47.2,0
OT-32HDC1,ONIX,80.043,LCD,,90.04,3.5
OWS-22LED1,ONIX,54,LCD,,30.14,6
