Model No,Brand,Control,Prog Name,Type,New CEC,New Star
PDP4212HD,Palsonic,106,Plasma,,193.5,2.5
PDP4310HD,PALSONIC,109.311,Plasma,,121.4,4.5
PDP5012HD,Palsonic,127,Plasma,,272.85,2
PDP5130FHD,PALSONIC,128.81,Plasma,,210.8,3.5
TFTV320HL,Palsonic,80,LCD (LED),,90.9,3.5
TFTV321HL,Palsonic,80,LCD (LED),,51.4,6
TFTV323FHD,Palsonic,80,LCD,,103.2,3
TFTV325FL,Palsonic,80,LCD (LED),,62.5,5
TFTV326FHD,Palsonic,80,LCD,,85.96,4
TFTV327FHD,Palsonic,80.039,LCD,,80.9,4
TFTV382HDR,Palsonic,39.4,LCD,,21.55,5.5
TFTV3842DTR,Palsonic,39.4,LCD,,21.65,5.5
TFTV3855DTR,Palsonic,38,LCD,,22,5.5
TFTV385HDR,Palsonic,38,LCD,,17,6
TFTV3900DT,Palsonic,97.971,LCD,,100.2,4.5
TFTV3915FL,Palsonic,97.974,LCD (LED),,55.89,7
TFTV3920M,Palsonic,97.971,LCD (LED),,55,7
TFTV3920M,Palsonic,97.974,LCD (LED),,59.3,0
TFTV3920MW,Palsonic,97.974,LCD (LED),,59.3,0
TFTV3925FL,Palsonic,97.974,LCD (LED),,59.3,7
TFTV4000FHD,Palsonic,101,LCD,,139.4,3.5
TFTV4005FHD,Palsonic,101,LCD,,200,2
TFTV4010FL,Palsonic,101.6090932,LCD (LED),,95.4,5
TFTV4055FL,Palsonic,100.332,LCD (LED),,46.37,0
TFTV4055M,Palsonic,100.332,LCD (LED),,46.37,0
TFTV4225FL,Palsonic,106.731,LCD (LED),,75,0
TFTV4227FL,Palsonic,105.475,LCD (LED),,48.55,0
TFTV4255M,Palsonic,105.475,LCD (LED),,55.06,0
TFTV425FL,Palsonic,106,LCD (LED),,120.3,4.5
TFTV4355FL,Palsonic,107.978,LCD (LED),,60.26,0
TFTV455HD,Palsonic,47.5,LCD,,23.9,6
TFTV4600FHD,Palsonic,117,LCD,,157.5,4
TFTV475LED,Palsonic,47,LCD (LED),,26.42,5.5
TFTV476LED,Palsonic,46.9,LCD (LED),,18.7,7
TFTV478LED,Palsonic,53.104,LCD (LED),,14.7,0
TFTV4855FL,Palsonic,120.94,LCD (LED),,81.39,0
TFTV4945LEDR,Palsonic,48,LCD (LED),,30,5
TFTV4955M,Palsonic,47.013,LCD (LED),,18,0
TFTV4960M / TFTV4960MW,PALSONIC,47.013,LCD (LED),,25,6
TFTV4970M ,Palsonic,47.013,LCD (LED),,20.1,7
tftv4970MW,Palsonic,47.013,LCD (LED),,20.1,7
TFTV4980M,Palsonic,53.104,LCD (LED),,19.1,8
TFTV4980MW,Palsonic,53.104,LCD (LED),,19.1,8
TFTV501UHD,Palsonic,125.731,LCD (LED),,115,0
TFTV5025FL,Palsonic,125.731,LCD (LED),,105.9,0
TFTV5027FL,Palsonic,125.727,LCD (LED),,80.75,0
TFTV553LEDR,Palsonic,55,LCD (LED),,26,6
TFTV5545LEDR,Palsonic,55,LCD (LED),,34,5.5
TFTV554LEDR,Palsonic,54.6,LCD (LED),,29.1,6
TFTV5555M,Palsonic,54.687,LCD (LED),,25.1,0
TFTV555LEDR,Palsonic,55.88,LCD (LED),,15.9,9
TFTV5560M / TFTV5560MW,PALSONIC,54.683,LCD (LED),,34.5,5.5
TFTV5570M,Palsonic,54.683,LCD (LED),,23,7
TFTV5570MW,Palsonic,54.683,LCD (LED),,23,7
TFTV557FHD,PALSONIC,54.713,LCD,,33.7,5.5
TFTV557FHD,Palsonic,54.713,LCD,,48.4,4
TFTV5580M,Palsonic,54.687,LCD (LED),,20.6,7
TFTV5580MW,Palsonic,54.687,LCD (LED),,20.6,7
TFTV5585M,Palsonic,54.683,LCD (LED),,20.8,0
TFTV5585MW,Palsonic,54.683,LCD (LED),,20.8,0
TFTV558LED,Palsonic,54.687,LCD (LED),,25.1,0
TFTV578LED,Palsonic,54.683,LCD (LED),,20,0
TFTV5825FL,Palsonic,146.059,LCD (LED),,136.95,0
TFTV5855FL,Palsonic,146.214,LCD (LED),,135,0
TFTV602LED,Palsonic,60,LCD (LED),,35.7,5.5
TFTV6042FHD,Palsonic,60,LCD,,48,4.5
TFTV6043FHD,Palsonic,59.7,LCD,,48.6,4.5
TFTV6044FHD,Palsonic,59.774,LCD,,46.76,4.5
TFTV6045LEDR,Palsonic,60,LCD (LED),,36,5.5
TFTV6055M,Palsonic,59.809,LCD (LED),,24.9,0
TFTV6055MW,Palsonic,59.809,LCD (LED),,24.9,0
TFTV605LEDR,Palsonic,60,LCD (LED),,33,6
TFTV6060M / TFTV6060MW,PALSONIC,59.81,LCD (LED),,36.4,5.5
TFTV6066M,Palsonic,59.809,LCD (LED),,26,0
TFTV6066MW,Palsonic,59.809,LCD (LED),,26,0
TFTV606LEDR,Palsonic,59.8,LCD (LED),,28.5,6
TFTV6070M ,Palsonic,59.81,LCD (LED),,25,7
TFTV6070MW,Palsonic,59.81,LCD (LED),,25,7
TFTV607LEDR,Palsonic,60.96,LCD (LED),,20.1,8
TFTV607LEDR,Palsonic,60.96,LCD (LED),,20.1,8
TFTV6080M,Palsonic,60.965,LCD (LED),,26.3,7
TFTV6080MW,Palsonic,60.965,LCD (LED),,26.3,7
TFTV6085M,Palsonic,60.965,LCD (LED),,26.3,0
TFTV6085MW,Palsonic,60.965,LCD (LED),,26.3,0
TFTV608LED,Palsonic,60.965,LCD (LED),,20,0
TFTV664R,Palsonic,66,LCD,,63.1,4
TFTV6650LED,Palsonic,66,LCD (LED),,55.8,4.5
TFTV6690LED,Palsonic,66.053,LCD (LED),,36.1,6
TFTV6840DT,Palsonic,66,LCD,,62,4
TFTV700HL,Palsonic,72.4,LCD (LED),,32.9,0
TFTV700M,Palsonic,69.863,LCD (LED),,13.92,0
TFTV740HL,Palsonic,72.4,LCD (LED),,32.9,7
TFTV7450M,Palsonic,72.4,LCD (LED),,32.1,7
