Model No,Brand,Control,Prog Name,Type,New CEC,New Star
TH--60CS610Z,Panasonic,151.115,LCD (LED),,79,9
TH-103PB1W,Panasonic,260.318,Plasma,,663.8,4
TH-103PF12W,Panasonic,260.3,Plasma,,1127.4,2
TH-103PF12W,Panasonic,260.318,Plasma,,678.71,4
TH-24A400A,Panasonic,59.824,LCD (LED),,25,8
TH-24A400Z,Panasonic,59.824,LCD (LED),,25,7
TH-24C400Z,Panasonic,59.824,LCD (LED),,25,7
TH-32A400A,Panasonic,80.039,LCD (LED),,35,8
TH-32A400Z,Panasonic,78.301,LCD (LED),,35,7
TH-32AS610A,Panasonic,80.039,LCD (LED),,30,8
TH-32AS610Z,Panasonic,78.301,LCD (LED),,30,8
TH-32AS630Z,Panasonic,80.133,LCD (LED),,41,7
TH-32C400A,Panasonic,80.039,LCD (LED),,35,8
TH-32C400Z,Panasonic,78.301,LCD (LED),,35,7
TH-32C410Z,Panasonic,78.301,LCD (LED),,35,7
TH-32CS600Z,Panasonic,78.301,LCD (LED),,30,8
TH-40A400A,Panasonic,100.332,LCD (LED),,54.2,8
TH-40A400Z,Panasonic,100.332,LCD (LED),,54.2,7
TH-40C400A,Panasonic,100.332,LCD (LED),,54.2,8
TH-40C400Z,Panasonic,100.332,LCD (LED),,54.2,7
TH-40CS610A,Panasonic,100.333,LCD (LED),,40,8
TH-40CS610Z,Panasonic,100.333,LCD (LED),,40,9
TH-40CS650A,Panasonic,100.333,LCD (LED),,40,8
TH-40CS650Z,Panasonic,100.333,LCD (LED),,40,9
TH-42A400A,Panasonic,107.733,LCD (LED),,62,8
TH-42A400Z,Panasonic,107.733,LCD (LED),,62,7
TH-42A410Z,Panasonic,107.733,LCD (LED),,62,7
TH-42AS640A,Panasonic,105.475,LCD (LED),,54,8
TH-42AS640Z,Panasonic,105.475,LCD (LED),,54,8
TH-42AS700A,Panasonic,106.465,LCD (LED),,54,8
TH-42AS700Z,Panasonic,106.474,LCD (LED),,54,8
TH-42C400Z,Panasonic,107.733,LCD (LED),,62,7
TH-42PF20W,Panasonic,105.7,Plasma,,243.1,1
TH-42PF30W,Panasonic,105.7,Plasma,,239.82,1
TH-42PF50W,Panasonic,105.668,Plasma,,127.91,4
TH-42PH20W,Panasonic,105.7,Plasma,,221.1,1.5
TH-48AX670Z,Panasonic,120.94,LCD (LED),,110,6
TH-50A400Z,Panasonic,125.725,LCD (LED),,61,9
TH-50A430A,Panasonic,125.731,LCD (LED),,58,8
TH-50A430Z,Panasonic,125.725,LCD (LED),,58,9
TH-50AS610Z,Panasonic,125.725,LCD (LED),,57,9
TH-50AS640A,Panasonic,125.727,LCD (LED),,64,8
TH-50AS640Z,Panasonic,125.727,LCD (LED),,64,8
TH-50AS700A,Panasonic,125.727,LCD (LED),,64,8
TH-50AS700Z,Panasonic,125.727,LCD (LED),,64,8
TH-50C400Z,Panasonic,125.725,LCD (LED),,61,9
TH-50CS610A,Panasonic,125.744,LCD (LED),,57,8
TH-50CS610Z,Panasonic,125.725,LCD (LED),,57,9
TH-50CS650A,Panasonic,125.727,LCD (LED),,56,8
TH-50CS650Z,Panasonic,125.727,LCD (LED),,56,9
TH-50CX700A,Panasonic,125.744,LCD (LED),,86.7,8
TH-50CX700Z,Panasonic,125.744,LCD (LED),,86.7,7
TH-50CX740A,Panasonic,125.744,LCD (LED),,86.7,8
TH-50PF20W,Panasonic,126.8,Plasma,,283.8,1.5
TH-50PF30W,Panasonic,126.8,Plasma,,290,2
TH-50PF50W,Panasonic,126.803,Plasma,,171.5,4
TH-50PH20W,Panasonic,126.8,Plasma,,273.9,2
TH-55AS670A,Panasonic,138.783,LCD (LED),,71,8
TH-55AS670Z,Panasonic,138.783,LCD (LED),,71,9
TH-55AS700A,Panasonic,138.783,LCD (LED),,71,8
TH-55AS700Z,Panasonic,138.783,LCD (LED),,71,9
TH-55AS740A,Panasonic,138.783,LCD (LED),,71,8
TH-55AS800A,Panasonic,138.818,LCD (LED),,101.1,8
TH-55AS800Z,Panasonic,138.818,LCD (LED),,101.1,7
TH-55AX670A,Panasonic,138.783,LCD (LED),,135,8
TH-55AX670Z,Panasonic,138.783,LCD (LED),,135,6
TH-55CS610A,Panasonic,138.818,LCD (LED),,73,8
TH-55CS650A,Panasonic,138.783,LCD (LED),,72,8
TH-55CS650Z,Panasonic,138.783,LCD (LED),,72,9
TH-55CX640A,Panasonic,138.818,LCD (LED),,125.3,8
TH-55CX640Z,Panasonic,138.818,LCD (LED),,125.3,6
TH-55CX700A,Panasonic,138.818,LCD (LED),,121.2,8
TH-55CX700Z,Panasonic,138.818,LCD (LED),,121.2,6
TH-55CX740A,Panasonic,138.818,LCD (LED),,121.2,8
TH-55CX800A,Panasonic,138.818,LCD (LED),,112,8
TH-58AX800A,Panasonic,146.059,LCD (LED),,173,8
TH-58AX800Z,Panasonic,146.059,LCD (LED),,173,5.5
TH-58PF20W,Panasonic,147.3,Plasma,,354.2,2
TH-60A430A,Panasonic,151.141,LCD (LED),,104,8
TH-60A430Z,Panasonic,151.141,LCD (LED),,104,8
TH-60AS640A,Panasonic,151.141,LCD (LED),,106,8
TH-60AS640Z,Panasonic,151.141,LCD (LED),,106,8
TH-60AS700A,Panasonic,151.141,LCD (LED),,98,8
TH-60AS700Z,Panasonic,151.141,LCD (LED),,98,8
TH-60AS740A,Panasonic,151.141,LCD (LED),,98,8
TH-60AS800A,Panasonic,151.115,LCD (LED),,119.4,8
TH-60AS800Z,Panasonic,151.115,LCD (LED),,119.4,7
TH-60C430Z,Panasonic,151.141,LCD (LED),,104,8
TH-60CS610A,Panasonic,151.115,LCD (LED),,79,8
TH-60CX640Z,Panasonic,151.115,LCD (LED),,148.8,6
TH-60CX700A,Panasonic,151.115,LCD (LED),,148.8,8
TH-60CX700Z,Panasonic,151.115,LCD (LED),,148.8,6
TH-60PF30W,Panasonic,152.6,Plasma,,411.11,2
TH-60PF50W,Panasonic,152.591,Plasma,,235.82,4
TH-65AX800A,Panasonic,163.853,LCD (LED),,196.1,8
TH-65AX800Z,Panasonic,163.853,LCD (LED),,196.1,6
TH-65AX900A,Panasonic,163.853,LCD (LED),,221,8
TH-65AX900Z,Panasonic,163.853,LCD (LED),,221,5.5
TH-65CS610A,Panasonic,163.853,LCD (LED),,99,8
TH-65CS610Z,Panasonic,163.853,LCD (LED),,99,9
TH-65CX640A,Panasonic,163.853,LCD (LED),,139,8
TH-65CX640Z,Panasonic,163.853,LCD (LED),,139,7
TH-65CX700A,Panasonic,163.853,LCD (LED),,139,8
TH-65CX700Z,Panasonic,163.853,LCD (LED),,139,7
TH-65CX740A,Panasonic,163.853,LCD (LED),,139,8
TH-65PF20W,Panasonic,164.5,Plasma,,402.5,2.5
TH-65PF30W,Panasonic,164.5,Plasma,,461.41,2
TH-65PF50W,Panasonic,164.499,Plasma,,275.4,4
TH-85PB1W,Panasonic,216.706,Plasma,,483.07,4
TH-85PF12W,Panasonic,216.7,Plasma,,870.1,1.5
TH-85PF12W,Panasonic,216.706,Plasma,,489.28,4
TH-85X940A,Panasonic,214.783,LCD (LED),,325,8
TH-85X940Z,Panasonic,214.783,LCD (LED),,325,6
TH-L22X25A,Panasonic,54.86,LCD,,38.73,5
TH-L24X5A,Panasonic,59.872,LCD (LED),,21.83,8
TH-L24X5Z,Panasonic,59.872,LCD (LED),,21.83,8
TH-L24XM6A,Panasonic,60.996,LCD (LED),,26,7
TH-L24XM6Z,Panasonic,60.996,LCD (LED),,26,7
TH-L32B6A,Panasonic,80.039,LCD (LED),,38,7
TH-L32B6Z,Panasonic,78.301,LCD (LED),,38,7
TH-L32C30A,Panasonic,80,LCD,,68.21,5
TH-L32C30Z,Panasonic,80.103,LCD,,68.21,5
TH-L32C5Z,Panasonic,80.141,LCD (LED),,67.48,5
TH-L32D20A,Panasonic,80,LCD (LED),,58.3,5.5
TH-L32DT30A,Panasonic,80.1,LCD (LED),,68.9,5
TH-L32DT30Z,Panasonic,80.103,LCD (LED),,68.9,5
TH-L32E30A,Panasonic,80.1,LCD (LED),,44,7
TH-L32E30Z,Panasonic,80.103,LCD (LED),,44,7
TH-L32E3A,Panasonic,80,LCD,,43.32,7
TH-L32E3Z,Panasonic,80.103,LCD (LED),,43.32,7
TH-L32E5A,Panasonic,80.005,LCD (LED),,39,7
TH-L32E5A,Panasonic,80.005,LCD (LED),,39,7
TH-L32E5AW,Panasonic,80.005,LCD (LED),,39,7
TH-L32E5Z,Panasonic,80.103,LCD (LED),,39,7
TH-L32E6Z,Panasonic,80.131,LCD (LED),,47.8,6
TH-L32EM5A,Panasonic,80.005,LCD (LED),,42,7
TH-L32EM5Z,Panasonic,80.103,LCD (LED),,42,7
TH-L32U30A,Panasonic,80,LCD,,68.46,5
TH-L32U30Z,Panasonic,80.103,LCD,,68.46,5
TH-L32X30A,Panasonic,80,LCD (LED),,42.1,7
TH-L32X30Z,Panasonic,80.103,LCD (LED),,41.8,7
TH-L32X50A,Panasonic,80.103,LCD (LED),,29.65,8
