Model No,Brand,Control,Prog Name,Type,New CEC,New Star
22HFL3008D/12,PHILIPS,54.762,LCD (LED),,19.1,0
22HFL3117D/10,PHILIPS,54.898,LCD (LED),,26.1,6
22HFL4007D/10,PHILIPS,54.452,LCD (LED),,23.6,7
22HFL4373D/10,PHILIPS,54.762,LCD (LED),,27.9,6
22PFL3409,Philips,55.88,LCD,,41.76,4.5
24HFL3008D/12,PHILIPS,59.774,LCD (LED),,20.1,0
24HFL3008W/12,PHILIPS,59.774,LCD (LED),,20.1,0
24HFL3009D/12,PHILIPS,59.638,LCD (LED),,14.7,0
24HFL3009W/12,PHILIPS,59.638,LCD (LED),,14.7,0
24HFL3010T/12,PHILIPS,59.833,LCD,,14.847,0
24HFL3010W/12,PHILIPS,59.833,LCD,,14.83,0
26HFL3008D/12,PHILIPS,66,LCD (LED),,27.1,0
26HFL3008W/12,PHILIPS,66,LCD (LED),,27.1,0
26HFL3117D/10,PHILIPS,66.087,LCD (LED),,34.3,6
26HFL4007D/10,PHILIPS,66.185,LCD (LED),,26.7,7
26HFL4373D/10,PHILIPS,66.125,LCD (LED),,29.6,7
26HFL5008D/12,PHILIPS,66,LCD (LED),,27.6,0
28HFL3009D/12,PHILIPS,69.646,LCD (LED),,14.1,0
28HFL3010T/12,PHILIPS,69.871,LCD,,15.2,0
28HFL5009D/12,PHILIPS,69.646,LCD (LED),,15.1,0
28HFL5010T/12,PHILIPS,69.646,LCD,,15.1,0
32HFL3008D/12,PHILIPS,80.016,LCD (LED),,29.5,0
32HFL3009D/12,PHILIPS,79.358,LCD (LED),,21.7,0
32HFL3009W/12,PHILIPS,79.358,LCD (LED),,21.7,0
32HFL3010T/12,PHILIPS,80.039,LCD,,20.402,0
32HFL3010W/12,PHILIPS,79.793,LCD,,21.7,0
32HFL3117D/10,PHILIPS,80.376,LCD (LED),,44.3,7
32HFL4007D/10,PHILIPS,80.278,LCD (LED),,38.3,7
32HFL4373D/10,PHILIPS,80.19,LCD,,52.3,6
32HFL5007D/10,PHILIPS,80.103,LCD (LED),,36.8,7
32HFL5008D/12,PHILIPS,80.016,LCD (LED),,41.26,0
32HFL5009D/12,PHILIPS,80.376,LCD (LED),,24.1,0
32HFL5010T/12,PHILIPS,80.039,LCD,,23.9,0
32HFL5573D/10,PHILIPS,80.103,LCD (LED),,37.5,7
32PHH5129/79,Philips,81.541,LCD (LED),,43.2,0
39HFL3008D/12,PHILIPS,97.965,LCD (LED),,34.7,0
40HFL3009D/12,PHILIPS,100.042,LCD (LED),,31.8,0
40HFL3010T/12,PHILIPS,100.332,LCD,,29.1,0
40HFL5008D/12,PHILIPS,101.549,LCD (LED),,42.03,0
40HFL5009D/12,PHILIPS,101.648,LCD (LED),,34.4,0
40HFL5010T/12,PHILIPS,100.332,LCD,,33.3,0
40HFL5573D/10,PHILIPS,101.784,LCD (LED),,48,8
42HFL3008D/12,PHILIPS,106.474,LCD (LED),,41.1,0
42HFL3117D/10,PHILIPS,106.97,LCD (LED),,83.1,6
42HFL4007D/10,PHILIPS,106.512,LCD (LED),,43.6,9
42HFL4373D/10,PHILIPS,107.106,LCD,,96.3,5.5
42HFL5007D/10,PHILIPS,106.338,LCD (LED),,45.3,9
42HFL5107H/10,PHILIPS,106.746,LCD (LED),,44.09,10
42HFL7007D/10,PHILIPS,106.561,LCD (LED),,49,8
42HFL7008D/12,PHILIPS,106.561,LCD (LED),,49,8
42HFL7009D/12,PHILIPS,106.3,LCD (LED),,33.8,0
42HFL7108D/12,PHILIPS,106.485,LCD (LED),,46.4,0
42PFH5129/79,Philips,107.526,LCD (LED),,80.33,0
42PFL5008D/79,Philips,106.731,LCD (LED),,42.1,0
42PFT6509/79,Philips,106.467,LCD (LED),,38.9,0
46HFL5008D/12,PHILIPS,116.644,LCD (LED),,49.1,0
46HFL5573D/10,PHILIPS,116.83,LCD (LED),,74,7
47HFL5007D/10,PHILIPS,119.021,LCD (LED),,60.5,8
47HFL7007D/10,PHILIPS,119.45,LCD (LED),,59,8
47HFL7008D/12,PHILIPS,119.45,LCD (LED),,59,8
47HFL7009D/12,PHILIPS,119.373,LCD (LED),,37.1,0
47HFL7108D/12,PHILIPS,119.275,LCD (LED),,53.7,0
48HFL5009D/12,PHILIPS,120.664,LCD (LED),,37.6,0
48HFL5010T/12,PHILIPS,120.94,LCD,,43.92,0
50PFH5129/79,Philips,126.531,LCD (LED),,103.16,0
50PFL5008D/79,Philips,125.731,LCD (LED),,52.2,0
50PFT6509/79,Philips,125.742,LCD (LED),,44,0
55HFL5007D/10,PHILIPS,138.984,LCD (LED),,55.1,10
55HFL5008D/12,PHILIPS,138.624,LCD (LED),,59.19,0
55HFL5009D/12,PHILIPS,137.232,LCD (LED),,40.4,0
55HFL5573D/10,PHILIPS,139.207,LCD (LED),,68.8,9
55PFT6609/79,Philips,138.783,LCD (LED),,48.2,0
58PUT8509/79,Philips,147.154,LCD (LED),,93.5,0
65PFT6909/79,Philips,163.896,LCD (LED),,54,0
65PUT8609/79,Philips,163.896,LCD (LED),,93,0
