Model No,Brand,Control,Prog Name,Type,New CEC,New Star
41433,RV Media,47.013,LCD (LED),,24.5,6
41436,RV Media,54.687,LCD (LED),,29.5,6
41437,RV Media,59.809,LCD (LED),,28.97,6
41738,RV Media,47.013,LCD (LED),,24.52,0
41739,RV Media,54.687,LCD (LED),,22.62,0
41740,RV Media,59.809,LCD (LED),,28.25,0
41969,RV Media,54.687,LCD (LED),,22.36,0
42307,RV Media,47.013,LCD (LED),,24.52,0
42419,RV Media,47.013,LCD (LED),,29.28,0
42701,RV Media,59.774,LCD (LED),,24.9,0
42702,RV Media,80.128,LCD (LED),,55.56,0
