Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 HG26AA470PW,SAMSUNG ELECTRONICS,66.087,LCD (LED),,24,8
 HG32AA690NW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,38,7
 T27B750AA,SAMSUNG ELECTRONICS,68.691,LCD (LED),,43,6
 UA55ES6700M,SAMSUNG ELECTRONICS,138.798,LCD (LED),,80,8
HE40A,SAMSUNG ELECTRONICS,101.6,LCD (LED),,59,7
HE46A,SAMSUNG ELECTRONICS,116.8,LCD (LED),,80,7
HG28AB670BW,SAMSUNG ELECTRONICS,69.906,LCD (LED),,25.23,8
HG32AA470PW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,31,8
HG32AB460GW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,27.6,9
HG32AB670BW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,32.73,8
HG32AB690QW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,47.94,6
HG32AC470GW,SAMSUNG ELECTRONICS,80.054,LCD (LED),,33.86,0
HG32AC670AW,SAMSUNG ELECTRONICS,80.054,LCD (LED),,26.98,0
HG32AC690DW,SAMSUNG ELECTRONICS,80.054,LCD (LED),,30,0
HG32AD450SW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,25.41,0
HG32AD470SW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,24.98,0
HG32AD590HW,SAMSUNG ELECTRONICS,80.054,LCD (LED),,27,0
HG32AD670AW,SAMSUNG ELECTRONICS,80.103,LCD (LED),,27.13,0
HG32AD690DW,SAMSUNG ELECTRONICS,80.054,LCD (LED),,27,0
HG39AB460HW,SAMSUNG ELECTRONICS,97.965,LCD (LED),,42.47,8
HG40AA570LW,SAMSUNG ELECTRONICS,101.637,LCD (LED),,47,8
HG40AA690NW,SAMSUNG ELECTRONICS,101.637,LCD (LED),,57,7
HG40AB670FW,SAMSUNG ELECTRONICS,101.637,LCD (LED),,58.08,7
HG40AB690QW,SAMSUNG ELECTRONICS,101.637,LCD (LED),,63.08,7
