Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LCD-19VT11DVD,SANYO,47,LCD,,27.1,5.5
LCD-19XR9DA(B),SANYO,48,LCD,,26.2,5.5
LCD-19XR9DA(C),SANYO,47,LCD,,27.8,5.5
LCD-22VT10DVD(C),SANYO,55,LCD,,45.2,4
LCD-22VT11DVD,SANYO,55,LCD,,43.3,4.5
LCD-22XR11F,SANYO,54.687,LCD,,39.1,5
LCD-22XR9DA(B),SANYO,56,LCD,,37.6,5
LCD-24K40,SANYO,60,LCD,,53.788,4
LCD-24XR10F,SANYO,60,LCD,,44.3,4.5
LCD-24XR11F,SANYO,60,LCD,,45.7,4.5
LCD-24XR12F,SANYO,59.809,LCD,,45.6,4.5
LCD-26XR11,SANYO,66,LCD,,60.5,4
LCD-26XR9DA(C),SANYO,66,LCD,,65,3.5
LCD-26XZ11,SANYO,66,LCD,,60.5,4
LCD-32XR10F,SANYO,80,LCD,,103.5,3
LCD-32XR10F(B),SANYO,80,LCD,,97.5,3
LCD-32XR11,SANYO,80,LCD,,81.4,4
LCD-32XR11(B),SANYO,80,LCD,,79.9,4
LCD-32XR11F,SANYO,80,LCD,,88.9,3.5
LCD-32XR12F,SANYO,80.131,LCD,,82.1,4
LCD-32XZ11,SANYO,80,LCD,,81.4,4
LCD-39XR12F,SANYO,97.979,LCD,,118.2,4
LCD-39XZ12F,SANYO,97.979,LCD,,116.6,4
LCD-40XR10F,SANYO,101,LCD,,164.5,2.5
LCD-40XR10F(B),SANYO,100,LCD,,168.5,2.5
LCD-40XR10F(C),SANYO,100,LCD,,152.6,3
LCD-40XR10F(D),SANYO,101,LCD,,145.1,3.5
LCD-40XR11F,SANYO,101,LCD,,131.1,3.5
LCD-40XZ11F,SANYO,101,LCD,,131.1,3.5
LCD-42K40TD,SANYO,106,LCD,,117.5,4.5
LCD-46XR10F,SANYO,116,LCD,,208.7,2.5
LCD-46XR11F,SANYO,117,LCD,,189.2,3
LCD-46XR11F(B),SANYO,116.809,LCD,,152.6,4
LCD-46XZ11F,SANYO,117,LCD,,189.2,3
LCD-50XR12F,SANYO,125.727,LCD,,186,4
LED-19XR11,SANYO,47,LCD (LED),,21.9,6
LED-19XZ11,SANYO,47,LCD (LED),,21.9,6
LED-22XR10F,SANYO,56,LCD,,26,6
LED-22XR11F,SANYO,55,LCD (LED),,28.8,6
LED-22XZ11F,SANYO,55,LCD (LED),,28.8,6
LED-24XR113D,SANYO,60,LCD (LED),,40,5
LED-32XR10F,SANYO,80,LCD,,62.5,5
LED-32XR10FH,SANYO,80,LCD (LED),,89.1,3.5
LED-32XR11F,SANYO,80,LCD (LED),,51.5,6
LED-42XR10FH,SANYO,106,LCD (LED),,121.4,4.5
LED-42XR10FH(B),SANYO,106,LCD (LED),,121.9,4.5
LED-42XR11F,SANYO,106,LCD (LED),,75.8,6
LED-46XR10FH,SANYO,116,LCD (LED),,137.6,4.5
LED-46XR10FH(B),SANYO,115,LCD (LED),,136.9,4.5
LED-46XR113D,SANYO,116,LCD (LED),,100.1,6
LED-46XR123D,SANYO,116.809,LCD (LED),,104.5,6
