Model No,Brand,Control,Prog Name,Type,New CEC,New Star
1900SE-A101,senzu,47.013,LCD,,33.42,4.5
2200SE-A101,senzu,54.683,LCD,,35.89,5
3200SL-A101,SENZU,81.28,LCD,,96.26,3.5
3200SL-A105,SENZU,81.28,LCD,,95.04,3.5
3201SL-C101,SENZU,81.28,LCD,,95.1,3.5
4200SE-D111,SENZU,106.68,LCD (LED),,91.5,5.5
4200SL-D111,SENZU,106.68,LCD,,123.54,4.5
4600SE-X101,SENZU,116.81,LCD,,135.03,4.5
5000SP-X101,SENZU,127,Plasma,,291.24,2
5500SE-X101,SENZU,138.14,LCD,,136.35,6
SU32SE-W13AAU,senzu,80.043,LCD (LED),,38.4,0
SU32SE-W13ANZ,senzu,80.043,LCD (LED),,38.4,0
SU40SE-W13AAU,senzu,101.612,LCD (LED),,68.77,0
SU40SE-W13ANZ,senzu,101.612,LCD (LED),,68.77,0
SU48SE-V14AAU,SENZU,120.94,LCD (LED),,77.89,0
SU48SE-V14ANZ,SENZU,120.94,LCD (LED),,77.89,0
