Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 ,SHARP,176.572,LCD (LED),,122.9,0
LC--19LE520X-BK,SHARP,47.013,LCD,,21.4,6
LC--22LE520X-BK,SHARP,55.327,LCD,,26.3,6
LC-24LE430X,SHARP,59.785,LCD,,24.37,7
LC-32L400X,SHARP,80.011,LCD,,89.45,3.5
LC-32L450X,SHARP,79.967,LCD,,91.2,3.5
LC-32LE155X,SHARP,80.072,LCD (LED),,37.2,0
LC-32LE265X,SHARP,80.072,LCD (LED),,30.64,0
LC-32LE265X-WH,SHARP,80.072,LCD (LED),,30.64,0
LC-32LE345X,SHARP,80.043,LCD (LED),,42.5,7
LC-32LE345X,SHARP,80.043,LCD (LED),,42.5,7
LC-32LE355X,SHARP,80.043,LCD (LED),,38.4,0
LC-32LE355X,SHARP,80.043,LCD (LED),,38.4,0
LC-32LE360X,SHARP,80.072,LCD (LED),,33.51,0
LC-32LE430X,SHARP,80.19,LCD,,39,7
LC-32LE430X,SHARP,79.793,LCD,,44.52,6
LC-32M400X,SHARP,80.043,LCD,,66.51,5
LC-32M400X,SHARP,80.043,LCD,,78.2,4
LC-39LE155X,SHARP,98.652,LCD (LED),,43,0
LC-40L500X,SHARP,101.549,LCD,,136,3.5
LC-40L550X,SHARP,101.549,LCD,,138.8,3.5
LC-40L650X,SHARP,101.549,LCD,,138.9,3.5
LC-40LE265X,SHARP,100.328,LCD (LED),,49.79,0
LC-40LE265X-WH,SHARP,100.328,LCD (LED),,49.79,0
LC-40LE355X,SHARP,101.612,LCD (LED),,60.4,0
LC-40LE360X,SHARP,100.328,LCD (LED),,52.5,0
LC-40LE460X,SHARP,100.332,LCD (LED),,63,0
LC-40LE530X,SHARP,101.681,LCD (LED),,78.3,6
LC-40LE660X,SHARP,100.333,LCD (LED),,61.79,0
LC-40LE820X,SHARP,101.607,LCD (LED),,81.5,6
LC-40LE830X,SHARP,101.607,LCD (LED),,75.6,6
LC-40LE835X,SHARP,101.612,LCD (LED),,64.21,7
LC-40LE835X,SHARP,101.612,LCD (LED),,64.21,7
LC-40M500X,SHARP,101.612,LCD,,103.8,4.5
LC-40M500X,SHARP,101.612,LCD,,126,4
LC-46LE530X,SHARP,116.906,LCD (LED),,88.1,6
LC-46LE820X,SHARP,116.799,LCD (LED),,86.3,6
LC-46LE830X,SHARP,116.799,LCD (LED),,89.1,6
LC-46LE835X,SHARP,116.812,LCD (LED),,81.49,7
LC-46LE835X,SHARP,116.812,LCD (LED),,81.49,7
LC-46LE840X,SHARP,116.818,LCD (LED),,67.1,7
LC-46LE840X,SHARP,116.818,LCD (LED),,67.1,7
LC-50LE460X,SHARP,125.736,LCD (LED),,91.2,0
LC-52LE820X,SHARP,132.174,LCD (LED),,89.2,7
LC-52LE830X,SHARP,131.609,LCD (LED),,102.1,7
LC-52LE835X,SHARP,132.174,LCD (LED),,83.1,8
LC-52LE835X,SHARP,132.174,LCD (LED),,83.1,8
LC-52LE840X,SHARP,132.174,LCD (LED),,78.8,8
LC-52LE840X,SHARP,132.174,LCD (LED),,78.8,8
LC-55LE460X,SHARP,138.783,LCD (LED),,86,0
LC-60LE360X,SHARP,152.493,LCD (LED),,122.8,0
LC-60LE630X,SHARP,152.493,LCD (LED),,134.2,7
LC-60LE630X,SHARP,152.493,LCD (LED),,134.2,7
LC-60LE631X,SHARP,152.493,LCD (LED),,126.64,7
LC-60LE631X,SHARP,152.493,LCD (LED),,126.64,7
LC-60LE631X-WH,SHARP,152.493,LCD (LED),,126.64,7
LC-60LE631X-WH,SHARP,152.493,LCD (LED),,126.64,7
LC-60LE640X,SHARP,152.493,LCD (LED),,99.24,8
LC-60LE640X,SHARP,152.493,LCD (LED),,99.24,8
LC-60LE650X,SHARP,152.493,LCD (LED),,123.71,0
LC-60LE660X,SHARP,152.493,LCD (LED),,107.73,0
LC-60LE830X,SHARP,151.327,LCD (LED),,130.7,7
LC-60LE835X,SHARP,152.493,LCD (LED),,99.6,8
LC-60LE835X,SHARP,152.493,LCD (LED),,99.6,8
LC-60LE925X,SHARP,152.127,LCD (LED),,153.1,6
LC-60LE940X,SHARP,152.504,LCD (LED),,88.4,8
LC-60LE940X,SHARP,152.504,LCD (LED),,88.4,8
LC-60LE950X,SHARP,152.493,LCD (LED),,105.35,0
LC-60LE951X,SHARP,152.493,LCD (LED),,105.35,0
LC-60LE960X,SHARP,152.493,LCD (LED),,113.5,0
LC-70LE360X,SHARP,176.572,LCD (LED),,122.9,0
LC-70LE650X,SHARP,176.572,LCD (LED),,152.55,0
LC-70LE660X,SHARP,176.572,LCD (LED),,126.79,0
LC-70LE735X,SHARP,176.456,LCD (LED),,143.2,8
LC-70LE735X,SHARP,176.456,LCD (LED),,143.2,8
LC-70LE950X,SHARP,176.555,LCD (LED),,138.88,0
LC-70LE951X,SHARP,176.555,LCD (LED),,138.88,0
LC-70LE960X,SHARP,176.564,LCD (LED),,148.07,0
LC-70UD1X,SHARP,176.592,LCD (LED),,244,0
LC-80LE940X,SHARP,203.186,LCD (LED),,158.8,8
LC-80LE940X,SHARP,203.186,LCD (LED),,158.8,8
LC-80LE960X,SHARP,203.218,LCD (LED),,179.76,0
LC-90LE740X,SHARP,228.527,LCD (LED),,182.2,9
LC-90LE740X,SHARP,228.527,LCD (LED),,182.2,9
LC-90LE760X,SHARP,228.655,LCD (LED),,201.6,0
