Model No,Brand,Control,Prog Name,Type,New CEC,New Star
3.20E+37,Skyworth,80.043,LCD (LED),,39.06,0
3.90E+37,Skyworth,97.971,LCD (LED),,62.47,0
5.00E+37,Skyworth,125.73,LCD (LED),,87.324,0
4.20E+39,Skyworth,106.465,LCD,,69.8,0
5.80E+39,Skyworth,146.068,LCD (LED),,151.86,0
3.20E+58,Skyworth,80.043,LCD,,37.52,0
5.00E+59,Skyworth,125.727,LCD,,98.8,0
24E58A,Skyworth,59.827,LCD,,25.51,0
24E66A,Skyworth,59.861,LCD (LED),,29.3,6
32E3000,Skyworth,80.036,LCD (LED),,33.58,0
32E360,Skyworth,80.06,LCD (LED),,26.97,0
32E66A,Skyworth,80.133,LCD (LED),,49.8,6
40E360,Skyworth,100.332,LCD (LED),,49.46,0
42E360,Skyworth,106.523,LCD,,62.7,0
42E510,Skyworth,106.474,LCD (LED),,67.53,0
42E66A,Skyworth,106.729,LCD (LED),,68.8,7
55E66A,Skyworth,138.962,LCD (LED),,128.2,6
58E38A,Skyworth,146.068,LCD (LED),,151.86,0
