Model No,Brand,Control,Prog Name,Type,New CEC,New Star
 E55W13A-AU,SONIQ,138.783,LCD (LED),,98.31,0
 E55W13A-NZ,SONIQ,138.783,LCD (LED),,98.31,0
E16Z10A-AU,SONIQ,39.491,LCD (LED),,36.99,3.5
E16Z11A-AU,SONIQ,40.64,LCD,,22.3,5.5
E16Z11B-AU,SONIQ,39.491,LCD (LED),,21.44,6
E19Z10A-AU,SONIQ,47.013,LCD,,38.5,4
E19Z10A-AU,SONIQ,47.013,LCD,,33.81,4.5
E19Z11A-AU,SONIQ,48.26,LCD (LED),,26.8,5.5
E22Z11A-AU,SONIQ,55.88,LCD,,32.8,5.5
E22Z11B-AU,SONIQ,54.67,LCD (LED),,36.4,5
E22Z11C-AU,SONIQ,54.687,LCD (LED),,43.2,4.5
E23Z11B-AU,SONIQ,58.296,LCD (LED),,32.9,6
E23Z12A-AU,SONIQ,58.3,LCD,,37.2,5.5
E23Z13A-AU,SONIQ,58.413,LCD (LED),,32.04,6
E23Z13A-NZ,SONIQ,58.413,LCD (LED),,32.04,0
E23Z15A-AU,SONIQ,58.413,LCD (LED),,32.04,0
E23Z15A-NZ,SONIQ,58.413,LCD (LED),,32.04,0
E24Z10A-AU,SONIQ,59.809,LCD (LED),,35.77,5.5
E26Z11A-AU,SONIQ,66.04,LCD (LED),,39.12,6
E26Z11B-AU,SONIQ,65.826,LCD (LED),,45.9,5
E32S12A-AU,SONIQ,80.043,LCD (LED),,43.3,7
E32W13A-AU,SONIQ,80.043,LCD,,50.8,0
E32W13A-NZ,SONIQ,80.043,LCD (LED),,50.8,0
E32W13B-AU,SONIQ,80.043,LCD (LED),,46.55,0
E32W13D-AU,SONIQ,80.043,LCD (LED),,41.05,0
E32W13D-NZ,SONIQ,80.043,LCD (LED),,41.05,0
E32Z10A-AU,SONIQ,80.133,LCD (LED),,59.57,5.5
E32Z10B-AU,SONIQ,81.28,LCD (LED),,85.01,4
E32Z11A-AU,SONIQ,80.039,LCD (LED),,85.01,4
E40S12A-AU,SONIQ,101.612,LCD (LED),,84.77,5.5
E40V14A-AU,SONIQ,101.612,LCD (LED),,68.77,0
E40V14A-AU,SONIQ,101.612,LCD (LED),,68.77,0
E40V14A-NZ,SONIQ,101.612,LCD (LED),,68.77,0
E40V14A-NZ,SONIQ,101.612,LCD (LED),,68.77,0
E40V14B-AU,SONIQ,100.332,LCD (LED),,59.36,0
E40V14C-AU,SONIQ,101.609,LCD (LED),,57.285,0
E40V14C-NZ,SONIQ,101.609,LCD (LED),,57.285,0
E40W13A-AU,SONIQ,101.612,LCD (LED),,68.77,0
E40W13A-NZ,SONIQ,101.612,LCD (LED),,68.77,0
E40W13C-AU,SONIQ,101.612,LCD (LED),,68.76,0
E42S14A-AU,SONIQ,106.465,LCD (LED),,55.29,0
E42V14A-AU,SONIQ,106.467,LCD (LED),,55.56,0
E42V14A-NZ,SONIQ,106.467,LCD (LED),,55.56,0
E42Z10A,SONIQ,107.68,LCD,,99.3,5.5
E42Z10B-AU,SONIQ,106.68,LCD (LED),,99.06,5.5
E46Z10A,SONIQ,116.81,LCD,,95.4,6
E46Z11A,SONIQ,116.804,LCD,,77.86,6
E47S14A-AU,SONIQ,119.288,LCD (LED),,64.39,0
