Model No,Brand,Control,Prog Name,Type,New CEC,New Star
KD-49X8300C,Sony,123.219,LCD (LED),,82,0
KD-49X8500B,SONY,123.219,LCD (LED),,115,5.5
KD-55X8500B,SONY,138.798,LCD (LED),,140,5.5
KD-55X8500C,Sony,138.798,LCD (LED),,110,0
KD-55X8504A,Sony,138.798,LCD (LED),,159.9,6
KD-55X9000B,SONY,138.798,LCD (LED),,144.5,5.5
KD-55X9004A,Sony,138.798,LCD (LED),,162.5,5.5
KD-65X8500B,SONY,163.878,LCD (LED),,157,5.5
KD-65X8500C,Sony,163.878,LCD (LED),,148,0
KD-65X8504A,Sony,163.878,LCD (LED),,195.4,6
KD-65X9000B,SONY,163.878,LCD (LED),,175,5.5
KD-65X9004A,Sony,163.878,LCD (LED),,191.7,6
KD-65X9300C,Sony,163.878,LCD (LED),,192,0
KD-65X9500B,SONY,163.878,LCD (LED),,210,5.5
KD-70X8500B,SONY,176.592,LCD (LED),,182,5.5
KD-75X8500C,Sony,189.306,LCD (LED),,226,0
KD-75X9400C,Sony,189.306,LCD (LED),,259,0
KD-79X9000B,SONY,199.651,LCD (LED),,225,5.5
KD-84X9000,SONY,213.443,LCD (LED),,365,5.5
KD-85X9500B,SONY,214.783,LCD (LED),,318.6,5.5
KDL-22BX320,Sony,54.7699,LCD,,37.4,5
KDL-26BX320,Sony,66.05296,LCD,,53.8,4.5
KDL-26EX420,Sony,66.1,LCD (LED),,33.23,6
KDL-26EX550,Sony,66.087,LCD (LED),,35.03,6
KDL-32BX320,Sony,80.03931,LCD,,74.2,4.5
KDL-32BX350,Sony,80.054,LCD,,78,4.5
KDL-32CX520,Sony,80.1,LCD,,73.33,4.5
KDL-32EX420,Sony,80,LCD (LED),,53.5,6
KDL-32EX520,Sony,80.1,LCD (LED),,53.5,6
KDL-32EX550,Sony,80.054,LCD (LED),,45.52,6
KDL-32EX650,Sony,80.103,LCD (LED),,45.18,6
KDL-32EX720,Sony,80.1,LCD (LED),,65.28,5
KDL-32HX750,Sony,80.103,LCD (LED),,55.44,6
KDL-32NX650,Sony,80.103,LCD (LED),,48.6,6
KDL-32R400A,Sony,80.054,LCD (LED),,37.4,7
KDL-32R420B,Sony,80.054,LCD (LED),,34.2,7
KDL-32W600A,Sony,80.054,LCD (LED),,39.1,7
KDL-32W670A,Sony,80.103,LCD (LED),,39.3,7
KDL-32W700B,Sony,80.103,LCD (LED),,39.5,7
KDL-32W700C,Sony,80.054,LCD (LED),,34.2,0
KDL-40BX450,Sony,101.637,LCD,,112.8,4.5
KDL-40CX520,Sony,101.6,LCD,,115.1,4.5
KDL-40EX520,Sony,101.6,LCD (LED),,73,6
KDL-40EX650,Sony,101.637,LCD (LED),,62.58,7
KDL-40EX720,Sony,101.6,LCD (LED),,80.08,6
KDL-40HX750,Sony,101.637,LCD (LED),,71.98,6
KDL-40NX710,Sony,101.6,LCD (LED),,96.5,5
KDL-40NX720,Sony,101.6,LCD (LED),,80.15,6
KDL-40R450A,Sony,101.637,LCD (LED),,58,7
KDL-40R550C,Sony,102.43,LCD (LED),,34.2,0
KDL-40W600B,Sony,101.637,LCD (LED),,43.9,7
KDL-40W700C,Sony,102.43,LCD (LED),,36.7,0
KDL-42W670A,Sony,106.697,LCD (LED),,50.6,8
KDL-42W700A,Sony,106.697,LCD (LED),,63.1,7
KDL-42W700B,Sony,106.697,LCD (LED),,46.6,7
KDL-42W800A,Sony,106.697,LCD (LED),,61.4,7
KDL-42W800B,Sony,106.697,LCD (LED),,48.2,7
KDL-43W800C,Sony,107.95,LCD (LED),,53.3,0
KDL-46EX520,Sony,116.8,LCD (LED),,73.55,7
KDL-46EX650,Sony,116.818,LCD (LED),,66.41,8
KDL-46EX720,Sony,116.8,LCD (LED),,84.02,7
KDL-46HX750,Sony,116.818,LCD (LED),,80.81,7
KDL-46HX820,Sony,116.8,LCD (LED),,90.15,6
KDL-46HX850,Sony,116.818,LCD (LED),,73.36,7
KDL-46NX710,Sony,116.8,LCD (LED),,105.9,6
KDL-46NX720,Sony,116.8,LCD (LED),,84.06,7
KDL-46W700A,Sony,116.818,LCD (LED),,64.7,8
KDL-46W900A,Sony,116.818,LCD (LED),,75.7,7
KDL-47W800A,Sony,119.324,LCD (LED),,69.3,8
KDL-48W600B,Sony,120.937,LCD (LED),,43.3,7
KDL-48W700C,Sony,120.937,LCD (LED),,44.5,0
KDL-50R550A,Sony,125.725,LCD (LED),,78.5,7
KDL-50W670A,Sony,125.725,LCD (LED),,49.1,8
KDL-50W700A,Sony,125.725,LCD (LED),,73.7,8
KDL-50W700B,Sony,125.638,LCD (LED),,55.1,7
KDL-50W800B,Sony,125.202,LCD (LED),,55.1,7
KDL-50W800C,Sony,125.725,LCD (LED),,62.4,0
KDL-55EX630,Sony,138.783,LCD (LED),,101,7
KDL-55EX720,Sony,138.8,LCD (LED),,114.17,7
KDL-55HX750,Sony,138.798,LCD (LED),,87.31,8
KDL-55HX820,Sony,138.8,LCD (LED),,116.53,7
KDL-55HX850,Sony,138.798,LCD (LED),,86.85,8
