Model No,Brand,Control,Prog Name,Type,New CEC,New Star
185HDLED,Sphere,47.013,LCD (LED),,15.23,8
185HDLEDA,Sphere,47.013,LCD (LED),,23,0
215FHDLED,Sphere,54.687,LCD (LED),,22.13,7
215FHDLEDA,Sphere,54.621,LCD (LED),,24.4,0
236FHDLED,Sphere,59.809,LCD (LED),,25.33,7
236FHDLEDA,Sphere,59.81,LCD (LED),,28.7,0
TS195LED,Sphere,49.411,LCD (LED),,15.7,0
TS195LEDA,Sphere,49.389,LCD (LED),,25.1,0
TS215LED,Sphere,54.687,LCD (LED),,25.7,0
TS236LED,Sphere,59.81,LCD (LED),,19.9,0
TS236LEDA,Sphere,59.809,LCD (LED),,25.8,0
TS315LED,Sphere,80.039,LCD (LED),,53.7,0
