Model No,Brand,Control,Prog Name,Type,New CEC,New Star
L19A10HD,TCL,46.9,LCD,,29.75,5
L19A11E,TCL,46.9,LCD (LED),,23.54,6
L19A20E,TCL,47.332,LCD (LED),,22.2,6
L19D3260,TCL,47.092,LCD (LED),,16.84,7
L19E77HD,TCL,48,LCD,,26.83,5.5
L19P11E,TCL,46.8,LCD (LED),,19.5,7
L19T3510,TCL,46.923,LCD (LED),,16.3,7
L20D2700,TCL,49.389,LCD (LED),,18.5,7
L20D2710,TCL,49.389,LCD (LED),,18.5,7
L22A11E,TCL,54.6,LCD (LED),,29.97,6
L22A20E,TCL,54.849,LCD (LED),,29.4,6
L23D2200F,TCL,58.3,LCD (LED),,37.05,5.5
L23F3300,TCL,58.249,LCD (LED),,18.7,7
L23F3300V,TCL,58.249,LCD (LED),,17.6,7
L23F3380,TCL,58.249,LCD (LED),,26.4,7
L24D20FEB,TCL,59.5,LCD (LED),,25,7
L24D20FES,TCL,59.5,LCD (LED),,25,7
L24D2700,TCL,59.824,LCD (LED),,19.47,7
L24D2710,TCL,59.824,LCD (LED),,19.47,7
L24D3000,TCL,60.89,LCD (LED),,27.1,7
L24D3260F,TCL,59.80969236,LCD (LED),,21.09,7
L24D3270,TCL,59.774,LCD (LED),,23.9,7
L24E4100F,TCL,60.89,LCD (LED),,22,7
L24E5200F,TCL,60.8,LCD (LED),,24.2,7
L24P11FE,TCL,61,LCD (LED),,27.3,7
L26E4100B,TCL,65.951,LCD (LED),,27.9,6
L26E4100G,TCL,65.951,LCD (LED),,27.9,6
L26E4100P,TCL,65.951,LCD (LED),,27.9,6
L26E4100W,TCL,65.951,LCD (LED),,27.9,6
L28B2500,TCL,69.819,LCD (LED),,25.8,6
L28D2700,TCL,69.866,LCD (LED),,19.25,7
L28D2710,TCL,69.866,LCD (LED),,19.25,7
L32*2**0,TCL,80.043,LCD (LED),,28.5,6
L32B2600,TCL,79.967,LCD (LED),,35.9,6
L32B2610,TCL,79.967,LCD (LED),,35.9,6
L32D20EB,TCL,80,LCD (LED),,36.8,7
L32D20ES,TCL,80,LCD (LED),,36.8,7
L32D3260,TCL,80.03887505,LCD (LED),,43.03,6
L32E2000,TCL,79.967,LCD (LED),,26,6
L32E3000,TCL,79.967,LCD (LED),,41.6,6
L32E3020,TCL,79.967,LCD (LED),,24.8,6
L32E330,TCL,79.967,LCD,,55.3,5.5
L32E3800S,TCL,80.043,LCD (LED),,37.8,6
L32E5200,TCL,79.8,LCD (LED),,53.9,5.5
L32E5300,TCL,80.039,LCD (LED),,36.15,7
L32E5390E,TCL,79.967,LCD (LED),,29,8
L32E5510S,TCL,79.967,LCD (LED),,36.3,6
L32F1520,TCL,79.967,LCD (LED),,26,6
L32F3300,TCL,80.039,LCD (LED),,42.39,6
L32F3520S,TCL,79.967,LCD (LED),,36.1,6
L32M11HD,TCL,79.5,LCD,,74.9,4
L32M11PVR,TCL,79.5,LCD,,64.9,5
L32P11FZE,TCL,80.5,LCD (LED),,66.6,5
L32P60U,TCL,80.2,LCD,,53.6,5.5
L32S4690S,TCL,79.967,LCD (LED),,25,6
L32S4700S,TCL,80.043,LCD (LED),,37.8,6
L39B2600,TCL,97.829,LCD (LED),,56.2,6
L39B2610,TCL,97.829,LCD (LED),,56.2,6
L39E2000,TCL,97.829,LCD (LED),,33.8,6
L39E3000F,TCL,97.965,LCD (LED),,51.9,7
L39E330F,TCL,97.878,LCD,,92.9,4.5
L39E5000F3DE,TCL,97.878,LCD (LED),,43.9,8
L39E5390FE,TCL,97.965,LCD (LED),,37.9,8
L39F1520,TCL,97.829,LCD (LED),,33.8,6
L39F3300F,TCL,97.974,LCD (LED),,66.62,6
L40B2800F,TCL,100.305,LCD (LED),,48.8,7
L40B3700F,TCL,100.305,LCD (LED),,48.8,7
L40B3800F,TCL,100.305,LCD (LED),,48.8,7
L40D2700F,TCL,100.353,LCD (LED),,45.1,7
L40D2710F,TCL,100.353,LCD (LED),,45.1,7
L40D3260F,TCL,101.609,LCD (LED),,62.52,6
L40E3000F,TCL,101.549,LCD (LED),,53,7
L40E3020F,TCL,101.549,LCD (LED),,38.7,7
L40E3800FS,TCL,100.332,LCD (LED),,57.1,7
L40E5200F,TCL,101.6,LCD (LED),,65.8,6
L40E5510FDS,TCL,101.549,LCD (LED),,49.7,7
L40F3520FS,TCL,101.549,LCD (LED),,53.8,7
L40M11FHD,TCL,101,LCD,,128.7,3.5
L40M11FPVR,TCL,101.2,LCD,,108.8,4.5
L40P11FZE,TCL,101.2,LCD (LED),,74.9,6
L40P60UF,TCL,101.6,LCD,,90.2,5
L40S4690FS,TCL,101.549,LCD (LED),,33.4,7
L40S4700FS,TCL,100.332,LCD (LED),,57.1,7
L42B3700F,TCL,106.697,LCD (LED),,48.3,7
L42E5300F,TCL,106.731,LCD (LED),,59.17,7
L42E9ADF,TCL,107,LCD,,133,4
L42V6300F3DE,TCL,106.7308524,LCD (LED),,60.3,7
L42V6300F3DE-2,TCL,106.731,LCD (LED),,59.9,7
L46E5200F,TCL,116,LCD (LED),,64.58,7
L46E5300F,TCL,116.802,LCD (LED),,53.11,8
L46E5390FE,TCL,116.769,LCD (LED),,42.4,8
L46E5510FDS,TCL,116.769,LCD (LED),,57.4,7
L46V6300F3DE,TCL,116.84,LCD (LED),,81.2,6
L46V6300F3DE-2,TCL,116.809,LCD (LED),,81.8,6
L46V7300F3DE,TCL,116.769,LCD (LED),,51,8
L48B2600F,TCL,120.888,LCD (LED),,68.6,7
L48F3300F,TCL,120.888,LCD (LED),,74.4,7
L50B2800F,TCL,125.638,LCD (LED),,68.7,7
L50D2700F,TCL,125.731,LCD (LED),,73.6,7
L50D2710F,TCL,125.731,LCD (LED),,73.6,7
L50E3000FS,TCL,125.725,LCD (LED),,43.9,8
L50E3020FS,TCL,125.638,LCD (LED),,50,7
