Model No,Brand,Control,Prog Name,Type,New CEC,New Star
DLE3289HD,TEAC,80.043,LCD (LED),,27.67,9
DLE3290HD,TEAC,80.039,LCD (LED),,27.48,9
DLE4689FHD,TEAC,116.809,LCD (LED),,67.7,8
DLE5089FHD,TEAC,125.731,LCD (LED),,73.5,8
DLEDV3989FHD,TEAC,97.974,LCD (LED),,53.6,7
DLEDV3989FHDR,TEAC,97.971,LCD (LED),,44.3,8
L236G1DTF4U,TEAC,59.997,LCD (LED),,19.49,0
L236G1DTH4U,TEAC,59.997,LCD (LED),,19.49,0
L236G1NTF4U,TEAC,59.997,LCD (LED),,19.49,0
L236G1NTH4U,TEAC,59.997,LCD (LED),,19.49,0
L236M8DTF4U,TEAC,59.997,LCD (LED),,19.49,0
L236M8DTH4U,TEAC,59.997,LCD (LED),,19.49,0
L236M8NTF4U,TEAC,59.997,LCD (LED),,19.49,0
L236M8NTH4U,TEAC,59.997,LCD (LED),,19.49,0
LCD-320X,TEAC,80.133,LCD,,104.26,3
LCD-420X,TEAC,106.731,LCD,,177.02,3
LCD2239HD,TEAC,54.683,LCD,,49.94,3.5
LCD2639HD,TEAC,66.087,LCD,,78.41,3
LCD2681FHD,TEAC,66.741,LCD,,53.4,4.5
LCD2681FHDR,TEAC,66.087,LCD,,56.5,4.5
LCD3265HD,TEAC,80.03,LCD,,107.68,3
LCD3281HD,TEAC,80.043,LCD,,92.64,3.5
LCD3282FHD,TEAC,80.133,LCD,,104.26,3
LCD4265FHD,TEAC,106.73,LCD,,176.64,3
LCD4265FHD,TEAC,106.73,LCD,,126.48,4
LCD4282FHD,TEAC,106.731,LCD,,177.02,3
LCD4282FHDR,TEAC,106.7293273,LCD,,105,5
LCDV1500DT,TEAC,39.499,LCD,,23,5.5
LCDV2256HD,TEAC,54.683,LCD,,55.95,3
LCDV2258HDR,TEAC,54.86,LCD,,50,3.5
LCDV2656HD,TEAC,66.087,LCD,,87.2,2.5
LCDV2656HDR,TEAC,66.087,LCD,,56.4,4.5
LCDV3956FHD,TEAC,97.971,LCD,,73,6
LE1978HD,TEAC,47,LCD (LED),,27,6
LE1980HD,TEAC,47.013,LCD (LED),,28.4,5.5
LE19A84HD,TEAC,47.013,LCD (LED),,20.5,7
LE23A84HD,TEAC,58.422,LCD (LED),,24.3,7
LE23A85FHD,TEAC,58.489,LCD (LED),,29.8,6
LE23A86FHD,TEAC,58.421,LCD (LED),,29.8,6
LE2478FHD,TEAC,60,LCD (LED),,39.4,5.5
LE3285FHD,TEAC,80.039,LCD (LED),,86.35,4
LE3291HD,TEAC,80.043,LCD (LED),,27.8,9
LE3293HD,TEAC,80.054,LCD (LED),,27.8,8
LE32G6FHD,TEAC,80.039,LCD (LED),,31.3,8
LE3990FHD,TEAC,97.974,LCD (LED),,44.3,0
LE4087FHD,TEAC,101.612,LCD (LED),,63.2,7
LE40UBFHD,TEAC,101.612,LCD (LED),,60.7,7
LE4210FHD3D,TEAC,106,LCD (LED),,75.5,6
LE4618FHD,TEAC,116.812,LCD (LED),,62.4,8
LE4688FHD,TEAC,116.81,LCD,,122.7,5
LE5050FHD,TEAC,125.731,LCD (LED),,61,7
LE5091FHD,TEAC,125.731,LCD (LED),,61,8
LE5094FH3D,TEAC,125.731,LCD (LED),,68.7,8
LE5588FHD,TEAC,138.78,LCD,,177.27,5
LE55AZFHD,TEAC,138.783,LCD (LED),,87.6,8
LE55BEAFHD,TEAC,138.783,LCD (LED),,83,8
LE5850FHD,TEAC,146.068,LCD (LED),,91,8
LE5851FH3D,TEAC,146.068,LCD (LED),,89.8,8
LEB3298FHD,TEAC,80.131,LCD (LED),,33,8
LEB4098FHD,TEAC,101.609,LCD (LED),,52.5,8
LEBD32D10FHD,TEAC,80.133,LCD (LED),,32.5,8
LEBD32D10FHDR,TEAC,80.043,LCD (LED),,41.06,7
LEBD40D10FHD,TEAC,101.612,LCD (LED),,61,7
LEBD40D10FHDR,TEAC,101.7,LCD (LED),,54.41,7
LEBD4220FHD3D,TEAC,106.729,LCD (LED),,85,6
LED1901FV,TEAC,47.013,LCD (LED),,20.7,6
LED2402FV,TEAC,59.824,LCD (LED),,25.6,7
LEDV1605DT,TEAC,39.486,LCD,,20,6
LEDV1905DT,TEAC,47.016,LCD (LED),,25,6
LEDV1915FV,TEAC,47.013,LCD (LED),,24.2,6
LEDV1916FV,TEAC,47.013,LCD (LED),,22.2,6
LEDV1982HD,TEAC,47.013,LCD (LED),,40.7,4
LEDV19U83HD,TEAC,47.013,LCD (LED),,20.5,7
LEDV2205DT,TEAC,54.687,LCD (LED),,36,5
LEDV2215FV,TEAC,54.683,LCD (LED),,30.13,6
LEDV2216FV,TEAC,54.687,LCD (LED),,29,6
LEDV2282FHD,TEAC,54.683,LCD (LED),,42.7,4.5
LEDV22U83FHD,TEAC,54.683,LCD (LED),,20.8,7
LEDV2405DT,TEAC,59.809,LCD (LED),,35,6
LEDV2416FV,TEAC,59.824,LCD (LED),,25.6,7
LEDV2482FHD,TEAC,59.81,LCD (LED),,47,4.5
LEDV24U83FHD,TEAC,59.81,LCD (LED),,21.5,8
LEDV26U83HD,TEAC,66.055,LCD (LED),,25,8
LEDV26U83HDR,TEAC,66.055,LCD (LED),,26.2,8
LEDV2816FV,TEAC,69.866,LCD (LED),,32,7
LEDV29G72FHD,TEAC,72.4,LCD (LED),,28.4,8
LEDV32U83HD,TEAC,80.133,LCD (LED),,33,8
LEDV32U83HDR,TEAC,80.133,LCD (LED),,34.7,8
LES4272F3D,TEAC,106.467,LCD (LED),,44.852,0
LES5572F3D,TEAC,139.873,LCD (LED),,74.142,0
LES6572F3D,TEAC,163.897,LCD (LED),,81.881,0
LET3296HD,TEAC,80.039,LCD (LED),,34.6,8
LET3996FHD,TEAC,97.971,LCD (LED),,48.1,8
LET5096FHD,TEAC,125.731,LCD (LED),,75.3,8
LET5596FHD,TEAC,138.783,LCD (LED),,88.6,8
LET6596FHD,TEAC,163.896,LCD (LED),,123.8,8
LEV1994HD,TEAC,47.013,LCD (LED),,12.9,0
LEV2292FHD,TEAC,54.687,LCD (LED),,19.8,7
LEV2294FHD,TEAC,54.683,LCD (LED),,19.3,7
LEV2492FHD,TEAC,59.809,LCD (LED),,17.7,8
LEV2494FHD,TEAC,59.809,LCD (LED),,15.7,8
LEV24A1FHD,TEAC,59.81,LCD (LED),,19.8,7
LEV24GD3FHD,TEAC,59.997,LCD (LED),,19.49,0
LEV29G75HD,TEAC,72.4,LCD (LED),,26.7,8
LEV3292HD,TEAC,80.04,LCD (LED),,27.8,8
LEV3294HD,TEAC,80.039,LCD (LED),,27.8,8
LEV32A1HD,TEAC,80.043,LCD (LED),,27.3,8
LEV32GD3HD,TEAC,80.043,LCD (LED),,27.3,8
LEV3992FHD,TEAC,97.974,LCD (LED),,33.5,8
LEV3994FHD,TEAC,97.974,LCD (LED),,29,8
LEV40A1FHD,TEAC,101.609,LCD (LED),,40.9,8
LEV40GD3FHD,TEAC,101.612,LCD (LED),,39.56,0
LEV48A1FHD,TEAC,120.94,LCD (LED),,64.3,8
