Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LED19EHRDTBBF,Teco,47.013,LCD (LED),,22.1,0
LED19EHRTBBF,Teco,47.013,LCD (LED),,22,0
LED22EFRDTBBF,Teco,54.77,LCD (LED),,26.1,0
LED22EFRTBBF,Teco,54.77,LCD (LED),,26.2,0
TA19NAPR,Teco,47,LCD (LED),,31.2,5
TA19NCLR,Teco,47,LCD (LED),,20.9,6
TA19NCLR1,Teco,47,LCD (LED),,20.9,6
TA22LALR,Teco,54.6,LCD (LED),,28.2,6
TA22LALR1,Teco,54.6,LCD (LED),,28.2,6
TA22NAPR,Teco,54.7,LCD (LED),,32.3,5.5
TA26NBLR,Teco,65.6,LCD,,57.2,4.5
TA26NBLRM,Teco,65.6,LCD,,57.2,4.5
