Model No,Brand,Control,Prog Name,Type,New CEC,New Star
ELE-18511,tecovision,48.26,LCD (LED),,24.7,6
ELE-21511,tecovision,55.88,LCD (LED),,30.71,5.5
ELE-23611,tecovision,60.96,LCD (LED),,35.85,5.5
ELE-32011,tecovision,81.28,LCD (LED),,55.92,5.5
ELE-42011,tecovision,106.68,LCD (LED),,110.74,5
ELK-18599,tecovision,48.26,LCD (LED),,24.7,6
ELK-21599,tecovision,55.88,LCD (LED),,30.71,5.5
ELK-23699,tecovision,60.96,LCD (LED),,35.85,5.5
ELK-32099,tecovision,81.28,LCD (LED),,55.92,5.5
ELK-42099,tecovision,106.68,LCD (LED),,110.74,5
LCD15HNTD,Tecovision,39.49,LCD,,29.83,4.5
LCD15HNTDM1,Tecovision,39.49,LCD,,29.83,4.5
LCD32AHRDLEBC,Tecovision,80.376,LCD,,77.3,4.5
LCD32AHRLBBC,Tecovision,80.376,LCD,,78.9,4
LCD32HNLA,Tecovision,80,LCD,,100.8,3
LCD32HNLA1,Tecovision,80,LCD,,100.8,3
LCD32HNLD,Tecovision,80,LCD,,100.8,3
LCD32HNLD1,Tecovision,80,LCD,,100.8,3
LED19AHRDLCBC,Tecovision,47.011,LCD (LED),,23.2,6
LED19AHRDLCBC,Tecovision,47.013,LCD (LED),,22.7,6
LED19AHRLCBC,Tecovision,47.011,LCD (LED),,22.9,6
LED19AHRLCBC,Tecovision,47.013,LCD (LED),,22.7,6
LED19BHRDWHBD,Tecovision,47.013,LCD (LED),,14.73,0
LED19BHRWHBD,Tecovision,47.013,LCD (LED),,14.46,0
LED19DHRBJBD,Tecovision,47.013,LCD (LED),,15.85,0
LED19DHRDBJBD,Tecovision,47.013,LCD (LED),,18.86,0
LED19HNE1,tecovision,48.26,LCD (LED),,24.7,6
LED19HNLD,Tecovision,47,LCD (LED),,26.1,5.5
LED19HNLDM1,Tecovision,47,LCD (LED),,26.1,5.5
LED22AFRDLLBB,Tecovision,55.073,LCD (LED),,34.4,5.5
LED22AFRDLLBB,Tecovision,54.687,LCD (LED),,33.1,5.5
LED22AFRLLBB,Tecovision,55.073,LCD (LED),,34.4,5.5
LED22AFRLLBB,Tecovision,54.687,LCD (LED),,33.1,5.5
LED22BFRDWHBD,Tecovision,54.687,LCD (LED),,20.86,0
LED22BFRWHBD,Tecovision,54.687,LCD (LED),,20.6,0
LED22DFRBJBD,Tecovision,54.687,LCD (LED),,19.29,0
LED22DFRDBJBD,Tecovision,54.687,LCD (LED),,23.21,0
LED22FNE1,tecovision,55.88,LCD (LED),,30.71,5.5
LED24AFRDLFBC,Tecovision,59.81,LCD (LED),,39.2,5.5
LED24BFRDWHBD,Tecovision,59.81,LCD (LED),,29.1,0
LED24FNE1,tecovision,60.96,LCD (LED),,35.85,5.5
LED24FNLD,Tecovision,60,LCD (LED),,33.5,6
LED24FNLDM1,Tecovision,60,LCD (LED),,33.5,6
LED26AFRLGBC,Tecovision,66.087,LCD (LED),,44.3,5.5
LED32AFRLLBB,Tecovision,82.365,LCD (LED),,64.8,5.5
LED32BHRDLDBD,Tecovision,80.039,LCD (LED),,33,8
LED32BHRLDBD,Tecovision,80.039,LCD (LED),,33,8
LED32CHRDWHBD,Tecovision,80.039,LCD (LED),,42.72,0
LED32CHRWHBD,Tecovision,80.039,LCD (LED),,39.91,0
LED32FDT1,Tecovision,80,LCD (LED),,111.37,2.5
LED32HNE1,tecovision,81.28,LCD (LED),,55.92,5.5
LED42FDT1,Tecovision,107,LCD (LED),,118.7,4.5
LED42FNE1,tecovision,106.68,LCD (LED),,110.74,5
LED50AFRWKBD,Tecovision,125.731,LCD (LED),,77.61,0
