Model No,Brand,Control,Prog Name,Type,New CEC,New Star
22L1300A,TOSHIBA,54.621,LCD (LED),,18.3,8
22SL700A,TOSHIBA,56,LCD (LED),,29.55,6
23DL900A,TOSHIBA,58.385,LCD (LED),,32.3,6
23HL900A*,TOSHIBA,58.385,LCD (LED),,28.32,6
24W2300A,TOSHIBA,59.824,LCD (LED),,23.4,7
26EL800A,TOSHIBA,66,LCD (LED),,37.8,6
26EL800AZ,TOSHIBA,66,LCD (LED),,37.8,6
26SL700A,TOSHIBA,66,LCD (LED),,38.12,6
32AV800A,TOSHIBA,81,LCD,,61.62,5.5
32AV800AZ,TOSHIBA,81,LCD,,61.62,5.5
32DV700A,TOSHIBA,80.3,LCD,,65.23,5
32EL800A,TOSHIBA,81,LCD (LED),,49.59,6
32EL800AZ,TOSHIBA,81,LCD (LED),,49.59,6
32EL900A*,TOSHIBA,79.967,LCD (LED),,38.02,7
32HL800A,TOSHIBA,81,LCD (LED),,47.72,6
32HL800AZ,TOSHIBA,81,LCD (LED),,47.72,6
32LV800A,TOSHIBA,81,LCD,,61.45,5.5
32LV800AZ,TOSHIBA,81,LCD,,61.45,5.5
32RL900A*,TOSHIBA,80.131,LCD (LED),,32,8
32SL700A,TOSHIBA,81,LCD (LED),,51.02,6
32SL800A,TOSHIBA,80,LCD (LED),,54.78,6
32SL800AZ,TOSHIBA,80,LCD (LED),,54.78,6
32W1300A,TOSHIBA,80.039,LCD (LED),,37.5,7
32W2300A,TOSHIBA,80.039,LCD (LED),,28.136,9
39AL900A,TOSHIBA,98.15,LCD (LED),,57.2,7
40LV800A,TOSHIBA,101.6,LCD,,103.93,5
40LV800AZ,TOSHIBA,101.6,LCD,,103.93,5
40RL900A*,TOSHIBA,101.609,LCD (LED),,48.5,8
40TL900A*,TOSHIBA,101.609,LCD (LED),,51.8,8
40XV700A,TOSHIBA,102,LCD,,113.68,4.5
42HL800A,TOSHIBA,106.68,LCD (LED),,80.41,6
42HL800AZ,TOSHIBA,106.68,LCD (LED),,80.41,6
42HL900A,TOSHIBA,106.697,LCD (LED),,63,7
42SL700A,TOSHIBA,107,LCD (LED),,81.02,6
42SL800A,TOSHIBA,107,LCD (LED),,69.49,7
42SL800AZ,TOSHIBA,107,LCD (LED),,69.49,7
46HL900A*,TOSHIBA,116.682,LCD (LED),,74.83,7
46SL800A,TOSHIBA,117,LCD (LED),,83.47,7
46SL800AZ,TOSHIBA,117,LCD (LED),,83.47,7
46TL900A*,TOSHIBA,116.809,LCD (LED),,63.2,8
46WL700A,TOSHIBA,117,LCD (LED),,116.57,5.5
46WL800A,TOSHIBA,117,LCD (LED),,95.15,6
46WL800AZ,TOSHIBA,117,LCD (LED),,95.15,6
46XV700A,TOSHIBA,117,LCD,,145.58,4.5
47VL800A,TOSHIBA,119,LCD (LED),,86.41,7
47VL800AZ,TOSHIBA,119,LCD (LED),,86.41,7
47VL900A*,TOSHIBA,119.287,LCD (LED),,73.9,7
50L2300A,TOSHIBA,125.727,LCD (LED),,67.98,8
50L7300A,TOSHIBA,125.731,LCD (LED),,70,0
55VL900A*,TOSHIBA,138.783,LCD (LED),,83.8,8
55WL700A,TOSHIBA,139,LCD (LED),,142.33,6
55WL800A,TOSHIBA,139,LCD (LED),,113.23,7
55WL800AZ,TOSHIBA,139,LCD (LED),,113.23,7
55XL700A,TOSHIBA,140,LCD (LED),,141.12,6
58L7300A,TOSHIBA,146.068,LCD (LED),,84,0
