Model No,Brand,Control,Prog Name,Type,New CEC,New Star
SRO9104,VEON,80.039,LCD (LED),,40.8,0
SRO9105,Veon,97.974,LCD (LED),,104.1,4.5
SRO9106,VEON,116.809,LCD (LED),,160.6,0
SRO9107,Veon,125.731,LCD (LED),,179.9,4
SRO9107,VEON,125.731,LCD (LED),,179.9,0
SRO9108,VEON,97.974,LCD (LED),,45.76,0
SRO9110,VEON,125.731,LCD (LED),,85.6,0
SROM9106,Veon,116.809,LCD (LED),,160.6,4
V28DHD,VEON,69.863,LCD,,35,0
V39FHDC,VEON,100.333,LCD,,51.2,0
V48FHD,VEON,121.584,LCD (LED),,72.9,0
V55FHD,VEON,138.783,LCD,,109.8,0
V55FHD1,VEON,138.798,LCD (LED),,97.5,0
VN1630LED,VEON,39.486,LCD (LED),,15.09,7
VN1912LED,VEON,47.013,LCD,,24.2,6
VN1912LEDDVD,VEON,47.013,LCD,,28.1,5.5
VN1980LED/DVD-C,VEON,47.013,LCD (LED),,19.08,7
VN2212LED,VEON,54.683,LCD,,31.7,5.5
VN2280LED-FHD-C,VEON,54.687,LCD (LED),,22.86,7
VN2412LED,VEON,59.81,LCD,,32.1,6
VN2412LEDDVD,VEON,59.81,LCD,,35.3,6
VN24H1LCDHD,VEON,60.996,LCD,,45.78,5
VN3059LCD-F8,VEON,80.043,LCD,,75.52,4.5
VN3216LEDDVD,VEON,80.043,LCD (LED),,36.14,7
VN3228LED-FHD,VEON,80.133,LCD (LED),,50,6
VN3238LED,VEON,80.131,LCD (LED),,51,6
VN3257LCD,VEON,80.028,LCD (LED),,86.8,4
VN3257LCD,VEON,80.028,LCD,,86.8,4
VN32D3LED,VEON,80.043,LCD (LED),,36.31,7
VN37A3LED,VEON,93.934,LCD (LED),,48.5,7
VN3928LED,VEON,97.971,LCD (LED),,70,6
VN3938LED,VEON,97.974,LCD (LED),,69,6
VN39D3LED,VEON,97.971,LCD (LED),,74.14,6
VN4018LED,VEON,100.332,LCD (LED),,59.36,7
VN4212LED,VEON,106.729,LCD (LED),,76.21,6
VN4219LED,VEON,106.731,LCD (LED),,59.12,7
VN42S90LED,VEON,105.475,LCD (LED),,65,7
VN4611LCD,VEON,116.818,LCD,,145.1,4.5
VN4628LED-FHD,VEON,116.812,LCD (LED),,90,6
VN4638LED,VEON,116.812,LCD (LED),,90,6
VN46D1LCD,VEON,116.818,LCD,,155,4
VN50D3LED,VEON,125.727,LCD,,119.5,6
VN50S90LED,VEON,125.731,LCD (LED),,121,6
VN5812LED,VEON,146.068,LCD (LED),,136,6
