Model No,Brand,Control,Prog Name,Type,New CEC,New Star
LCD37HD,Viano,94.07,LCD,,68.2,0
LCD37HD3D,Viano,94.021,LCD,,97.5,4.5
LED22DFHD,Viano,54.687,LCD (LED),,34.5,0
LED24DFHD,Viano,60.978,LCD (LED),,30.7,6
LED40FHD,Viano,101.549,LCD (LED),,64.4,7
LEDTV15DVD,Viano,39.444,LCD (LED),,8.6,0
LEDTV15HD,Viano,39.444,LCD (LED),,8.6,0
LEDTV19DHD,Viano,47.049,LCD (LED),,16.1,8
LEDTV37FHD,Viano,92.817,LCD (LED),,61.7,6
LEDTV47FHD,Viano,119.597,LCD (LED),,93.9,6
LEDTV47FHD3D,Viano,119.597,LCD (LED),,93.9,0
LEDTV48FHD,Viano,120.94,LCD (LED),,78.42,0
LEDTV49FHD,Viano,123.2,LCD (LED),,75.54,0
LEDTV55FHD3D,Viano,138.673,LCD (LED),,90.9,8
LEDTV60FHD,Viano,153.31,LCD (LED),,109.05,0
LTV19DHD,Viano,47.013,LCD,,29.3,0
LTV32HD,Viano,83.206,LCD,,74.1,4.5
LTV32HD,Viano,80.103,LCD,,56.2,0
