Model No,Brand,Control,Prog Name,Type,New CEC,New Star
2.40E+02,VISION,59.809,LCD (LED),,31.12,6
VS19LEDD,VISION,47.013,LCD (LED),,25,6
VS19LEDD1,VISION,47.013,LCD (LED),,25,6
VS19LEDD2,VISION,47.013,LCD (LED),,25,6
VS19LEDD3,VISION,47.013,LCD (LED),,25,6
VS19LEDDVD1,VISION,47.013,LCD (LED),,20.925,6
VS22LEDD,VISION,54.687,LCD (LED),,26.7,6
VS22LEDD1,VISION,54.687,LCD (LED),,26.7,6
VS22LEDD2,VISION,54.687,LCD (LED),,26.7,6
VS22LEDD3,VISION,54.687,LCD (LED),,26.7,6
VS22LEDDVDP2,VISION,54.6871705,LCD (LED),,33.8,5.5
VS22LEDDVDP3,VISION,54.539,LCD (LED),,29.08,6
VS22LEDDVDP4,VISION,54.687,LCD (LED),,24.82,6
VS24LEDD,VISION,59.809,LCD (LED),,21.9,8
VS24LEDD1,VISION,59.809,LCD (LED),,21.9,8
VS24LEDD2,VISION,59.809,LCD (LED),,21.9,8
VS24LEDD3,VISION,59.809,LCD (LED),,21.9,8
VS24LEDDVDP2,VISION,59.80892967,LCD (LED),,35.23,6
VS24LEDDVDP3,VISION,59.809,LCD (LED),,31.12,6
VS24LEDDVDP4,VISION,60.965,LCD (LED),,32.34,6
VS26LEDD,VISION,66.087,LCD (LED),,47,5
VS26LEDD1,VISION,66.087,LCD (LED),,47,5
VS26LEDD2,VISION,66.087,LCD (LED),,47,5
VS26LEDD3,VISION,66.087,LCD (LED),,47,5
VS26LEDDVDP,VISION,66.659,LCD (LED),,48.74,5
VS32LEDD,VISION,80.131,LCD (LED),,55.7,6
VS32LEDD1,VISION,80.131,LCD (LED),,55.7,6
VS32LEDD2,VISION,80.131,LCD (LED),,55.7,6
VS32LEDD3,VISION,80.131,LCD (LED),,55.7,6
VS32LEDDVDP,VISION,86,LCD (LED),,90.26,4
VS32LEDDVDP2,VISION,80.327,LCD (LED),,67.16,5
VS32LEDDVDP4,VISION,80.131,LCD (LED),,63.22,5
VS32LEDDVDPZ,VISION,86,LCD (LED),,98.14,4
VS32LEDDVDPZ1,VISION,80.327,LCD (LED),,87.42,4
VS40LEDD,VISION,101.609,LCD (LED),,82.9,6
VS40LEDD1,VISION,101.609,LCD (LED),,82.9,6
VS40LEDD2,VISION,101.609,LCD (LED),,82.9,6
VS40LEDD3,VISION,101.609,LCD (LED),,82.9,6
VS42LED1,VISION,106.731,LCD (LED),,74.4,6
VS42LED2,VISION,106.731,LCD (LED),,74.4,6
VS42LED3,VISION,106.731,LCD (LED),,74.4,6
VS42LEDD,VISION,106.731,LCD (LED),,74.4,6
VS42LEDP2,VISION,112.0667016,LCD (LED),,106.76,5.5
VS47LEDP,VISION,124.71,LCD (LED),,115.4,6
VS47LEDPD,VISION,124.71,LCD (LED),,115.4,6
YP19A01,VISION,47.013,LCD (LED),,25,6
YP19B01,VISION,47.013,LCD (LED),,25,6
YP19C01,VISION,47.013,LCD (LED),,25,6
YP19H01,VISION,47.013,LCD (LED),,25,6
YP22A01,VISION,54.687,LCD (LED),,26.7,6
YP22B01,VISION,54.687,LCD (LED),,26.7,6
YP22C01,VISION,54.687,LCD (LED),,26.7,6
YP22H01,VISION,54.687,LCD (LED),,26.7,6
YP24A01,VISION,59.809,LCD (LED),,21.9,8
YP24B01,VISION,59.809,LCD (LED),,21.9,8
YP24C01,VISION,59.809,LCD (LED),,21.9,8
YP24H01,VISION,59.809,LCD (LED),,21.9,8
YP26A01,VISION,66.087,LCD (LED),,47,5
YP26B01,VISION,66.087,LCD (LED),,47,5
YP26C01,VISION,66.087,LCD (LED),,47,5
YP26H01,VISION,66.087,LCD (LED),,47,5
YP32A01,VISION,80.131,LCD (LED),,55.7,6
YP32B01,VISION,80.131,LCD (LED),,55.7,6
YP32C01,VISION,80.131,LCD (LED),,55.7,6
YP32H01,VISION,80.131,LCD (LED),,55.7,6
YP40A01,VISION,101.609,LCD (LED),,82.9,6
YP40B01,VISION,101.609,LCD (LED),,82.9,6
YP40C01,VISION,101.609,LCD (LED),,82.9,6
YP40H01,VISION,101.609,LCD (LED),,82.9,6
YP42A01,VISION,106.731,LCD (LED),,74.4,6
YP42B01,VISION,106.731,LCD (LED),,74.4,6
YP42C01,VISION,106.731,LCD (LED),,74.4,6
YP42H01,VISION,106.731,LCD (LED),,74.4,6
