Model No,Brand,Control,Prog Name,Type,New CEC,New Star
VLCD185XTD,VOXSON,47,LCD,,32.48,4
VLCD22XPD,VOXSON,55,LCD,,54.03,3
VLCD26CTX,VOXSON,66.087,LCD,,65.5,3.5
VLCD26XT,VOXSON,66.053,LCD,,55.17,4.5
VLCD26XTD,VOXSON,66.04,LCD,,55.17,4.5
VLCD32CP,VOXSON,80,LCD,,137.78,1.5
VLCD32CT,VOXSON,80,LCD,,73.5,4.5
VLCD32CTX,VOXSON,80,LCD,,100.8,3
VLCD32CTX-2,VOXSON,80.054,LCD,,65,5
VLCD32CTX-3,VOXSON,79.967,LCD,,65.7,4
VLCD32XPD,VOXSON,80,LCD,,130.8,2
VLCD32XT,VOXSON,80,LCD,,110.433,2.5
VLCD32XTD,VOXSON,80,LCD,,130.8,2
VLCD32XTD-3,VOXSON,79.967,LCD,,70.1,4
VLCD32XTP,VOXSON,80,LCD,,110.433,2.5
VLCD40CP,VOXSON,102.08,LCD,,131.2,3.5
VLCD46CP,VOXSON,116.818,LCD,,119.5,5
VLCD55CP,VOXSON,137,LCD,,301.6,2.5
VLED19,VOXSON,47,LCD (LED),,25.31,6
VLED22,VOXSON,55,LCD (LED),,30.41,6
VLED24D,VOXSON,60,LCD (LED),,29.1,6
VLED32,VOXSON,80.054,LCD (LED),,53.9,6
VLED32-2,VOXSON,80.043,LCD (LED),,61.83,5.5
VLED32-3,VOXSON,80.043,LCD (LED),,40.8,7
VLED40CP,VOXSON,106.637,LCD (LED),,94.5,5.5
VLED46CP,VOXSON,116.812,LCD (LED),,115.3,5.5
VLED47CP,VOXSON,119.288,LCD (LED),,99.6,6
VLED55,VOXSON,140,LCD (LED),,136.35,6
VLED55CP,VOXSON,138.783,LCD (LED),,95.7,7
VPDP50-3D,VOXSON,126.89,Plasma,,252.3,2.5
