Model No,Brand,Control,Prog Name,Type,New CEC,New Star
13LED12HD,WINTAL,33.661,LCD (LED),,14.74,6
15LED12HD,WINTAL,39.486,LCD (LED),,20,6
15LED14HD,WINTAL,39.491,LCD (LED),,9.54,0
19LCD11HD,WINTAL,47.013,LCD,,23.95,6
19LED12HD,WINTAL,47.013,LCD (LED),,24.99,6
19LED14HD,WINTAL,49.972,LCD (LED),,24.2,0
22LCD11FHD,WINTAL,54.687,LCD,,48.75,4
24LED12FHD,WINTAL,60.965,LCD (LED),,27.77,7
24LED14FHD,WINTAL,64.301,LCD (LED),,0.44,0
26LCD11FHD,WINTAL,66.087,LCD,,54,4.5
32LCD11FHD,WINTAL,80.131,LCD,,75.02,4.5
32LED12FHD,WINTAL,80.133,LCD (LED),,58.47,5.5
32LED15HD,WINTAL,80.039,LCD (LED),,25.71,0
42LCD11FHD,WINTAL,106.731,LCD,,121.25,4.5
42LED12FHD,WINTAL,106.729,LCD (LED),,86.42,6
42LED15FHD,WINTAL,106.467,LCD (LED),,43.9,0
50LED15FHD,WINTAL,125.731,LCD (LED),,63.77,0
55LED12FHD,WINTAL,138.783,LCD (LED),,142.75,6
7LED14HD,WINTAL,17.642,LCD (LED),,5.41,0
DVBT702HD,WINTAL,17.674,LCD (LED),,6.96,8
PD1200HD,WINTAL,30.474,LCD,,20.26,5
